말id	전체 경기	통계1	통계2	통계3	통계4	통계5	승률	복승률	연승률
006686	7	2	1	0	1	0	28.6 	42.9 	42.9 
006903	5	2	0	0	1	0	40.0 	40.0 	40.0 
007024	22	5	0	3	1	4	22.7 	22.7 	36.4 
007028	4	0	0	0	0	0	0.0 	0.0 	0.0 
007242	21	1	3	1	4	2	4.8 	19.0 	23.8 
007093	21	0	1	1	2	0	0.0 	4.8 	9.5 
006968	5	0	0	0	0	0	0.0 	0.0 	0.0 
007142	27	3	3	4	4	3	11.1 	22.2 	37.0 
007143	8	1	0	0	0	1	12.5 	12.5 	12.5 
006669	10	2	1	1	0	0	20.0 	30.0 	40.0 
006742	26	3	4	0	3	0	11.5 	26.9 	26.9 
006475	16	3	2	3	0	2	18.8 	31.3 	50.0 
007171	19	6	5	2	1	2	31.6 	57.9 	68.4 
006720	18	4	3	1	1	5	22.2 	38.9 	44.4 
006433	17	3	1	4	1	4	17.6 	23.5 	47.1 
007240	1	0	0	0	0	0	0.0 	0.0 	0.0 
007082	20	0	0	1	1	2	0.0 	0.0 	5.0 
007212	44	7	2	0	4	3	15.9 	20.5 	20.5 
006969	10	3	0	0	0	1	30.0 	30.0 	30.0 
006650	51	4	6	9	4	7	7.8 	19.6 	37.3 
005363	39	7	4	4	5	5	17.9 	28.2 	38.5 
007090	4	0	0	0	0	0	0.0 	0.0 	0.0 
006461	10	1	0	0	0	1	10.0 	10.0 	10.0 
006930	1	0	0	0	0	0	0.0 	0.0 	0.0 
006493	34	6	1	3	6	2	17.6 	20.6 	29.4 
006644	22	3	2	6	0	2	13.6 	22.7 	50.0 
006477	8	0	0	0	0	0	0.0 	0.0 	0.0 
007141	7	3	0	2	0	0	42.9 	42.9 	71.4 
007252	1	0	0	0	0	0	0.0 	0.0 	0.0 
007079	64	3	4	12	10	5	4.7 	10.9 	29.7 
006611	6	3	0	2	0	1	50.0 	50.0 	83.3 
006956	8	0	2	0	0	1	0.0 	25.0 	25.0 
007185	5	0	1	1	0	0	0.0 	20.0 	40.0 
006939	11	2	1	2	1	0	18.2 	27.3 	45.5 
006725	7	2	2	0	0	0	28.6 	57.1 	57.1 
007198	4	0	0	0	0	0	0.0 	0.0 	0.0 
006629	10	1	0	0	0	0	10.0 	10.0 	10.0 
006632	19	2	2	3	0	1	10.5 	21.1 	36.8 
006684	9	1	0	1	0	0	11.1 	11.1 	22.2 
006929	5	1	3	0	0	0	20.0 	80.0 	80.0 
006938	17	2	2	2	1	1	11.8 	23.5 	35.3 
006649	11	1	1	4	2	0	9.1 	18.2 	54.5 
006767	9	1	2	0	1	0	11.1 	33.3 	33.3 
007228	1	0	0	0	0	0	0.0 	0.0 	0.0 
006952	5	0	0	0	1	0	0.0 	0.0 	0.0 
006908	1	0	0	0	0	0	0.0 	0.0 	0.0 
006943	5	1	0	1	1	0	20.0 	20.0 	40.0 
007138	52	1	6	2	6	6	1.9 	13.5 	17.3 
006940	78	43	11	4	4	4	55.1 	69.2 	74.4 
007213	9	2	0	1	0	1	22.2 	22.2 	33.3 
007084	2	0	0	0	0	0	0.0 	0.0 	0.0 
006935	14	3	2	0	0	1	21.4 	35.7 	35.7 
006672	17	1	2	1	3	1	5.9 	17.6 	23.5 
006957	8	1	1	3	2	0	12.5 	25.0 	62.5 
006442	7	0	0	0	0	0	0.0 	0.0 	0.0 
006696	7	0	0	0	1	0	0.0 	0.0 	0.0 
007012	2	0	0	0	0	1	0.0 	0.0 	0.0 
007132	3	0	0	0	0	0	0.0 	0.0 	0.0 
006601	8	5	1	1	0	0	62.5 	75.0 	87.5 
006635	6	0	0	0	0	2	0.0 	0.0 	0.0 
006621	7	5	1	1	0	0	71.4 	85.7 	100.0 
007158	1	1	0	0	0	0	100.0 	100.0 	100.0 
006963	5	0	0	1	1	1	0.0 	0.0 	20.0 
007169	11	1	2	2	1	1	9.1 	27.3 	45.5 
006758	7	0	1	0	0	0	0.0 	14.3 	14.3 
007165	2	0	0	0	0	0	0.0 	0.0 	0.0 
006958	4	0	0	0	0	2	0.0 	0.0 	0.0 
007016	2	0	0	0	0	0	0.0 	0.0 	0.0 
006488	7	0	2	0	0	0	0.0 	28.6 	28.6 
007055	16	0	0	0	0	1	0.0 	0.0 	0.0 
006709	6	1	0	1	1	0	16.7 	16.7 	33.3 
006434	6	1	0	0	1	0	16.7 	16.7 	16.7 
006729	5	2	1	0	0	0	40.0 	60.0 	60.0 
006934	9	0	0	0	1	2	0.0 	0.0 	0.0 
006913	1	0	0	0	0	0	0.0 	0.0 	0.0 
006727	13	3	1	4	2	0	23.1 	30.8 	61.5 
005336	5	0	0	0	0	0	0.0 	0.0 	0.0 
006955	4	0	0	0	0	0	0.0 	0.0 	0.0 
006901	4	0	0	0	1	0	0.0 	0.0 	0.0 
007005	19	4	0	4	2	5	21.1	21.1	42.1
006667	4	2	0	1	0	0	50.0 	50.0 	75.0 
006945	3	0	0	0	0	0	0.0 	0.0 	0.0 
006599	10	0	0	0	0	1	0.0	0.0	0.0
005362	7	0	0	0	1	0	0.0 	0.0 	0.0 
006685	1	0	0	0	0	0	0.0	0.0	0.0
006671	5	1	2	1	0	0	20.0 	60.0 	80.0 
006498	4	0	0	0	0	0	0.0 	0.0 	0.0 
006689	2	0	1	1	0	0	0.0 	50.0 	100.0 
005349	3	0	0	0	0	0	0.0 	0.0 	0.0 
006464	4	0	0	0	0	0	0.0 	0.0 	0.0 
006651	2	0	0	0	1	0	0.0 	0.0 	0.0 
006458	2	0	1	0	0	1	0.0 	50.0 	50.0 
006627	2	0	0	0	0	0	0.0 	0.0 	0.0 
005934	4	0	0	0	0	0	0.0 	0.0 	0.0 
006466	2	0	0	0	0	0	0.0 	0.0 	0.0 
008073	8	2	4	0	0	1	25.0 	75.0 	75.0 
008158	22	1	1	4	2	4	4.5 	9.1 	27.3 
007858	42	5	4	5	3	0	11.9 	21.4 	33.3 
008070	4	1	1	0	0	1	25.0 	50.0 	50.0 
007881	63	3	1	5	13	8	4.8 	6.3 	14.3 
007915	59	1	8	3	7	8	1.7 	15.3 	20.3 
007874	13	1	0	1	4	2	7.7 	7.7 	15.4 
007936	44	5	4	1	5	8	11.4 	20.5 	22.7 
007408	39	2	2	4	8	5	5.1 	10.3 	20.5 
008062	36	7	7	7	4	0	19.4 	38.9 	58.3 
008282	38	11	10	1	3	2	28.9 	55.3 	57.9 
008182	20	1	6	6	1	1	5.0 	35.0 	65.0 
008007	51	7	2	6	9	4	13.7 	17.6 	29.4 
007997	39	3	1	2	5	0	7.7 	10.3 	15.4 
008037	21	1	1	1	1	1	4.8 	9.5 	14.3 
008134	24	4	4	0	2	4	16.7 	33.3 	33.3 
007900	15	1	2	1	3	0	6.7 	20.0 	26.7 
008202	30	6	7	3	2	2	20.0 	43.3 	53.3 
007887	11	1	0	1	0	1	9.1 	9.1 	18.2 
008580	2	1	0	0	0	0	50.0 	50.0 	50.0 
008241	23	2	5	1	4	0	8.7 	30.4 	34.8 
008631	8	3	0	1	0	0	37.5 	37.5 	50.0 
008278	17	3	1	0	2	0	17.6 	23.5 	23.5 
008638	17	3	0	1	4	4	17.6 	17.6 	23.5 
008609	53	2	2	2	4	4	3.8 	7.5 	11.3 
008572	27	3	7	1	0	4	11.1 	37.0 	40.7 
008640	45	0	0	1	2	1	0.0 	0.0 	2.2 
008577	35	5	9	4	3	2	14.3 	40.0 	51.4 
008145	24	11	2	3	2	1	45.8 	54.2 	66.7 
008636	34	4	6	2	0	0	11.8 	29.4 	35.3 
008253	30	1	0	4	0	2	3.3 	3.3 	16.7 
008616	12	0	0	0	0	1	0.0 	0.0 	0.0 
008257	45	1	2	8	2	5	2.2 	6.7 	24.4 
008226	6	1	0	2	0	1	16.7 	16.7 	50.0 
008237	32	0	2	3	2	0	0.0 	6.3 	15.6 
008042	10	0	2	3	2	1	0.0 	20.0 	50.0 
008127	23	1	4	1	4	2	4.3 	21.7 	26.1 
008284	42	4	2	2	5	2	9.5 	14.3 	19.0 
007872	46	1	4	7	5	6	2.2 	10.9 	26.1 
008180	29	0	0	4	1	2	0.0 	0.0 	13.8 
007368	40	1	3	7	6	9	2.5 	10.0 	27.5 
007938	32	1	1	5	2	4	3.1 	6.3 	21.9 
008635	9	1	0	0	1	0	11.1 	11.1 	11.1 
008626	6	1	1	1	0	1	16.7 	33.3 	50.0 
008147	18	0	0	2	0	1	0.0 	0.0 	11.1 
007964	38	2	4	0	2	4	5.3 	15.8 	15.8 
007442	54	6	13	6	5	5	11.1 	35.2 	46.3 
007879	26	5	5	0	0	2	19.2 	38.5 	38.5 
007437	36	3	4	5	5	3	8.3 	19.4 	33.3 
007409	42	1	3	3	5	6	2.4 	9.5 	16.7 
007433	19	2	4	3	2	3	10.5 	31.6 	47.4 
007120	31	3	4	0	1	4	9.7 	22.6 	22.6 
007284	20	5	2	4	1	1	25.0 	35.0 	55.0 
007854	15	5	0	1	1	1	33.3 	33.3 	40.0 
008094	34	7	4	3	5	5	20.6 	32.4 	41.2 
007873	31	7	3	4	5	1	22.6 	32.3 	45.2 
007413	22	5	3	0	3	1	22.7 	36.4 	36.4 
007878	14	3	1	2	2	1	21.4 	28.6 	42.9 
007326	15	3	2	2	0	0	20.0 	33.3 	46.7 
007921	29	3	1	1	1	2	10.3 	13.8 	17.2 
008611	53	7	6	7	8	6	13.2 	24.5 	37.7 
008137	17	2	3	2	4	2	11.8 	29.4 	41.2 
007856	28	3	6	6	3	1	10.7 	32.1 	53.6 
008101	21	1	1	5	6	2	4.8 	9.5 	33.3 
007432	37	3	0	4	1	3	8.1 	8.1 	18.9 
007871	47	2	7	7	9	3	4.3 	19.1 	34.0 
007955	16	1	3	1	3	3	6.3 	25.0 	31.3 
007994	15	0	0	0	4	4	0.0 	0.0 	0.0 
007894	37	1	1	0	2	1	2.7 	5.4 	5.4 
007909	33	0	0	2	0	3	0.0 	0.0 	6.1 
008206	12	2	0	1	1	2	16.7 	16.7 	25.0 
008242	35	1	1	2	2	3	2.9 	5.7 	11.4 
008290	35	1	1	0	0	3	2.9 	5.7 	5.7 
007912	25	4	3	7	0	1	16.0 	28.0 	56.0 
008097	32	5	7	4	2	3	15.6 	37.5 	50.0 
007386	27	2	3	5	2	3	7.4 	18.5 	37.0 
008221	18	1	3	1	1	1	5.6 	22.2 	27.8 
007942	34	4	4	5	2	5	11.8 	23.5 	38.2 
008265	7	1	0	0	1	1	14.3 	14.3 	14.3 
007880	23	2	4	2	3	5	8.7 	26.1 	34.8 
007232	26	1	0	1	0	1	3.8 	3.8 	7.7 
007405	56	2	4	4	4	8	3.6 	10.7 	17.9 
007930	35	1	1	1	0	2	2.9 	5.7 	8.6 
007940	45	3	2	2	2	7	6.7 	11.1 	15.6 
007345	16	0	0	0	0	0	0.0 	0.0 	0.0 
008095	17	0	0	0	2	2	0.0 	0.0 	0.0 
008224	9	1	1	1	1	0	11.1 	22.2 	33.3 
008018	8	0	4	0	1	0	0.0 	50.0 	50.0 
007435	13	1	2	0	3	2	7.7 	23.1 	23.1 
008263	22	0	3	1	0	1	0.0 	13.6 	18.2 
008250	7	1	0	1	0	0	14.3 	14.3 	28.6 
008612	44	1	3	5	4	10	2.3 	9.1 	20.5 
008149	69	0	6	10	5	6	0.0 	8.7 	23.2 
008280	27	0	0	2	2	3	0.0 	0.0 	7.4 
008634	53	2	9	6	7	4	3.8 	20.8 	32.1 
007393	61	0	3	8	7	6	0.0 	4.9 	18.0 
008593	24	1	1	2	1	1	4.2 	8.3 	16.7 
008216	24	0	0	0	0	0	0.0 	0.0 	0.0 
008276	4	3	0	1	0	0	75.0 	75.0 	100.0 
007982	26	1	7	1	2	5	3.8 	30.8 	34.6 
007893	13	2	3	2	1	1	15.4 	38.5 	53.8 
007954	25	3	3	4	3	4	12.0 	24.0 	40.0 
008014	9	1	0	1	1	2	11.1 	11.1 	22.2 
007434	54	1	1	3	4	6	1.9 	3.7 	9.3 
007949	14	1	2	0	1	0	7.1 	21.4 	21.4 
008167	26	1	0	1	3	3	3.8 	3.8 	7.7 
008131	34	2	0	0	1	0	5.9 	5.9 	5.9 
007882	13	1	1	1	2	1	7.7 	15.4 	23.1 
007959	40	3	0	4	4	2	7.5 	7.5 	17.5 
008201	25	8	6	1	1	2	32.0 	56.0 	60.0 
008035	33	4	3	7	3	3	12.1 	21.2 	42.4 
007311	19	2	5	3	1	1	10.5 	36.8 	52.6 
008199	7	1	2	1	2	0	14.3 	42.9 	57.1 
007852	41	1	7	9	2	6	2.4 	19.5 	41.5 
008161	15	1	0	3	1	1	6.7 	6.7 	26.7 
007346	18	1	3	2	2	1	5.6 	22.2 	33.3 
007423	38	2	5	4	2	4	5.3 	18.4 	28.9 
007935	61	3	2	2	8	6	4.9 	8.2 	11.5 
005992	42	3	1	6	1	2	7.1 	9.5 	23.8 
006004	30	1	4	2	3	2	3.3 	16.7 	23.3 
005999	17	1	0	5	1	1	5.9 	5.9 	35.3 
005989	21	2	1	2	1	2	9.5 	14.3 	23.8 
005980	27	0	1	5	3	4	0.0 	3.7 	22.2 
006042	12	3	2	1	0	0	25.0 	41.7 	50.0 
006044	11	0	0	0	0	0	0.0 	0.0 	0.0 
005977	27	0	0	0	1	0	0.0 	0.0 	0.0 
005994	29	0	2	1	3	2	0.0 	6.9 	10.3 
006039	68	1	2	6	7	7	1.5 	4.4 	13.2 
008153	15	6	2	1	0	1	40.0 	53.3 	60.0 
007922	64	12	9	6	8	7	18.8 	32.8 	42.2 
008054	30	8	2	4	3	4	26.7 	33.3 	46.7 
007294	42	4	3	5	4	5	9.5 	16.7 	28.6 
007984	13	3	1	3	2	0	23.1 	30.8 	53.8 
007952	17	6	3	2	2	2	35.3 	52.9 	64.7 
007965	39	6	6	5	4	2	15.4 	30.8 	43.6 
007410	39	12	8	2	4	2	30.8 	51.3 	56.4 
007364	18	5	0	1	1	1	27.8 	27.8 	33.3 
007369	25	4	5	0	2	1	16.0 	36.0 	36.0 
007426	28	8	2	4	0	2	28.6 	35.7 	50.0 
007390	24	6	6	2	6	2	25.0 	50.0 	58.3 
007396	16	4	2	2	0	1	25.0 	37.5 	50.0 
007998	43	4	6	6	7	3	9.3 	23.3 	37.2 
008212	30	6	1	5	2	3	20.0 	23.3 	40.0 
008036	36	5	2	3	3	3	13.9 	19.4 	27.8 
007877	21	2	2	4	0	0	9.5 	19.0 	38.1 
007366	37	2	7	4	3	4	5.4 	24.3 	35.1 
008066	11	3	2	2	0	0	27.3 	45.5 	63.6 
008286	28	1	4	2	3	4	3.6 	17.9 	25.0 
007875	11	1	0	5	2	1	9.1 	9.1 	54.5 
008030	7	1	1	0	2	0	14.3 	28.6 	28.6 
007978	19	1	0	0	2	1	5.3 	5.3 	5.3 
008009	21	5	3	3	1	2	23.8 	38.1 	52.4 
008138	22	6	3	2	0	0	27.3 	40.9 	50.0 
007899	47	4	5	6	7	2	8.5 	19.1 	31.9 
008277	4	1	0	0	0	0	25.0 	25.0 	25.0 
008252	20	5	0	1	0	3	25.0 	25.0 	30.0 
007991	59	4	10	7	6	3	6.8 	23.7 	35.6 
008247	34	5	4	1	0	1	14.7 	26.5 	29.4 
007927	53	3	8	3	8	7	5.7 	20.8 	26.4 
008078	55	2	8	6	6	8	3.6 	18.2 	29.1 
008198	41	3	5	7	2	6	7.3 	19.5 	36.6 
008204	21	1	3	1	1	2	4.8 	19.0 	23.8 
007925	10	0	1	1	1	0	0.0 	10.0 	20.0 
008040	25	1	3	2	2	7	4.0 	16.0 	24.0 
008083	63	2	3	3	8	2	3.2 	7.9 	12.7 
008187	41	3	2	5	6	6	7.3 	12.2 	24.4 
008266	2	1	0	0	0	0	50.0 	50.0 	50.0 
008064	50	7	7	5	3	4	14.0 	28.0 	38.0 
008283	11	0	7	2	1	0	0.0 	63.6 	81.8 
008632	11	0	1	0	2	1	0.0 	9.1 	9.1 
008217	24	2	2	3	1	4	8.3 	16.7 	29.2 
007859	21	0	0	1	2	2	0.0 	0.0 	4.8 
008255	38	2	0	4	3	3	5.3 	5.3 	15.8 
008023	73	2	3	1	5	4	2.7 	6.8 	8.2 
008268	47	2	3	6	1	1	4.3 	10.6 	23.4 
008002	4	0	0	0	0	0	0.0 	0.0 	0.0 
008592	11	1	2	0	0	0	9.1 	27.3 	27.3 
008232	7	2	1	2	0	1	28.6 	42.9 	71.4 
007848	33	2	4	3	3	2	6.1 	18.2 	27.3 
008275	47	9	3	5	7	7	19.1 	25.5 	36.2 
007286	19	0	1	3	2	4	0.0 	5.3 	21.1 
008613	32	1	0	3	1	1	3.1 	3.1 	12.5 
008168	45	1	1	6	8	3	2.2 	4.4 	17.8 
007309	44	1	5	4	3	5	2.3 	13.6 	22.7 
008012	16	1	0	2	2	3	6.3 	6.3 	18.8 
008079	27	0	1	2	2	1	0.0 	3.7 	11.1 
007973	22	1	1	2	2	1	4.5 	9.1 	18.2 
008001	24	1	0	0	2	1	4.2 	4.2 	4.2 
007845	42	1	0	2	7	3	2.4 	2.4 	7.1 
007849	18	1	0	2	1	2	5.6 	5.6 	16.7 
007372	21	8	5	2	1	2	38.1 	61.9 	71.4 
007983	46	8	8	2	4	6	17.4 	34.8 	39.1 
007321	33	6	2	2	2	3	18.2 	24.2 	30.3 
007389	18	4	5	1	0	3	22.2 	50.0 	55.6 
007349	20	3	5	4	2	1	15.0 	40.0 	60.0 
008164	11	4	0	0	0	0	36.4 	36.4 	36.4 
007916	34	3	1	4	3	1	8.8 	11.8 	23.5 
008013	33	3	7	4	7	6	9.1 	30.3 	42.4 
008181	29	4	5	4	2	4	13.8 	31.0 	44.8 
007993	29	7	3	4	3	2	24.1 	34.5 	48.3 
007374	32	4	5	8	5	0	12.5 	28.1 	53.1 
007334	10	0	3	1	0	2	0.0 	30.0 	40.0 
007947	44	7	4	2	6	8	15.9 	25.0 	29.5 
008251	10	2	1	2	2	0	20.0 	30.0 	50.0 
008065	26	0	0	7	2	3	0.0 	0.0 	26.9 
008259	33	1	4	2	5	3	3.0 	15.2 	21.2 
008184	17	1	0	2	1	3	5.9 	5.9 	17.6 
008025	11	1	1	0	4	1	9.1 	18.2 	18.2 
007992	11	0	2	1	2	0	0.0 	18.2 	27.3 
007310	20	0	0	1	1	1	0.0 	0.0 	5.0 
008195	9	0	0	2	0	0	0.0 	0.0 	22.2 
007443	18	0	1	0	1	1	0.0 	5.6 	5.6 
007932	13	0	0	0	0	0	0.0 	0.0 	0.0 
008291	27	4	4	4	0	1	14.8 	29.6 	44.4 
008193	57	4	9	5	4	5	7.0 	22.8 	31.6 
008074	38	4	3	7	4	6	10.5 	18.4 	36.8 
007904	17	1	3	1	1	1	5.9 	23.5 	29.4 
008244	38	3	3	7	6	6	7.9 	15.8 	34.2 
008004	39	5	4	1	6	5	12.8 	23.1 	25.6 
007963	31	6	7	2	5	3	19.4 	41.9 	48.4 
008245	19	0	1	1	3	0	0.0 	5.3 	10.5 
007424	54	1	3	5	2	2	1.9 	7.4 	16.7 
007276	34	1	1	2	1	4	2.9 	5.9 	11.8 
008016	4	0	0	0	0	0	0.0 	0.0 	0.0 
008024	68	0	3	1	7	5	0.0 	4.4 	5.9 
008151	33	6	3	6	3	2	18.2 	27.3 	45.5 
008218	33	4	4	3	4	3	12.1 	24.2 	33.3 
008086	66	0	3	3	4	11	0.0 	4.5 	9.1 
007929	26	3	1	3	2	2	11.5 	15.4 	26.9 
007950	13	1	0	1	1	2	7.7 	7.7 	15.4 
007897	29	1	2	3	2	1	3.4 	10.3 	20.7 
008186	27	0	1	0	2	1	0.0 	3.7 	3.7 
007362	36	3	5	5	4	2	8.3 	22.2 	36.1 
008099	3	0	0	0	0	0	0.0 	0.0 	0.0 
007939	23	0	2	2	1	2	0.0 	8.7 	17.4 
007896	19	0	2	1	1	1	0.0 	10.5 	15.8 
007397	42	1	2	0	4	5	2.4 	7.1 	7.1 
008213	18	0	0	0	0	1	0.0 	0.0 	0.0 
006035	21	6	5	4	4	0	28.6 	52.4 	71.4 
006021	14	0	0	1	5	3	0.0 	0.0 	7.1 
006013	7	0	0	0	0	0	0.0 	0.0 	0.0 
006014	8	0	0	0	0	1	0.0 	0.0 	0.0 
006011	49	3	5	6	7	7	6.1 	16.3 	28.6 
005987	45	2	0	1	2	3	4.4 	4.4 	6.7 
006052	39	3	4	2	0	1	7.7 	17.9 	23.1 
007868	20	5	1	2	0	1	25.0 	30.0 	40.0 
007931	48	6	14	3	5	1	12.5 	41.7 	47.9 
007987	55	18	6	6	5	6	32.7 	43.6 	54.5 
006003	16	2	4	2	3	2	12.5 	37.5 	50.0 
006041	62	2	4	3	2	5	3.2 	9.7 	14.5 
006000	4	0	0	1	0	1	0.0 	0.0 	25.0 
006051	42	3	2	4	1	4	7.1 	11.9 	21.4 
006066	34	1	1	2	5	3	2.9 	5.9 	11.8 
005939	53	2	4	4	4	4	3.8 	11.3 	18.9 
006023	61	5	4	9	4	8	8.2 	14.8 	29.5 
006022	23	0	0	0	1	2	0.0 	0.0 	0.0 
005945	3	0	0	0	0	0	0.0 	0.0 	0.0 
007318	38	6	2	3	4	2	15.8 	21.1 	28.9 
008033	15	4	2	3	1	0	26.7 	40.0 	60.0 
008071	40	4	4	6	4	3	10.0 	20.0 	35.0 
007898	38	3	5	4	6	5	7.9 	21.1 	31.6 
008183	8	2	0	0	0	1	25.0 	25.0 	25.0 
008052	23	5	6	2	1	4	21.7 	47.8 	56.5 
007436	37	1	1	0	2	4	2.7 	5.4 	5.4 
007901	49	0	4	1	5	5	0.0 	8.2 	10.2 
007380	24	0	2	4	3	3	0.0 	8.3 	25.0 
007944	41	2	2	3	4	4	4.9 	9.8 	17.1 
006915	14	0	0	0	2	1	0.0 	0.0 	0.0 
007962	32	2	3	2	6	2	6.3 	15.6 	21.9 
008246	23	1	2	1	3	1	4.3 	13.0 	17.4 
008215	43	4	5	2	4	4	9.3 	20.9 	25.6 
007864	28	1	1	3	4	1	3.6 	7.1 	17.9 
008082	26	0	2	2	4	4	0.0 	7.7 	15.4 
008091	63	3	0	4	4	6	4.8 	4.8 	11.1 
008176	10	1	0	0	0	0	10.0 	10.0 	10.0 
008225	29	1	4	4	1	5	3.4 	17.2 	31.0 
007876	28	0	2	2	0	0	0.0 	7.1 	14.3 
007980	41	0	0	0	4	3	0.0 	0.0 	0.0 
007995	10	0	0	0	0	0	0.0 	0.0 	0.0 
006006	30	6	1	1	0	4	20.0 	23.3 	26.7 
006068	31	7	7	3	3	4	22.6 	45.2 	54.8 
005979	49	2	2	7	7	5	4.1 	8.2 	22.4 
005995	58	12	8	6	5	4	20.7 	34.5 	44.8 
006053	29	0	4	2	2	4	0.0 	13.8 	20.7 
006062	6	1	0	0	2	0	16.7 	16.7 	16.7 
006024	15	0	0	2	2	4	0.0 	0.0 	13.3 
006056	39	0	1	0	3	3	0.0 	2.6 	2.6 
005997	36	4	1	2	4	5	11.1 	13.9 	19.4 
008133	27	1	4	0	2	3	3.7 	18.5 	18.5 
007299	30	1	4	4	4	2	3.3 	16.7 	30.0 
007353	33	2	5	4	4	3	6.1 	21.2 	33.3 
008154	39	4	4	5	3	6	10.3 	20.5 	33.3 
007981	42	7	10	6	4	6	16.7 	40.5 	54.8 
007908	33	1	2	5	2	4	3.0 	9.1 	24.2 
008169	30	6	2	1	3	3	20.0 	26.7 	30.0 
008150	17	0	1	2	2	3	0.0 	5.9 	17.6 
007851	46	0	1	0	1	0	0.0 	2.2 	2.2 
007307	44	1	0	1	2	4	2.3 	2.3 	4.5 
006067	24	5	4	2	3	0	20.8 	37.5 	45.8 
006046	24	2	3	1	2	6	8.3 	20.8 	25.0 
006008	50	3	7	4	3	1	6.0 	20.0 	28.0 
005998	36	4	1	3	4	1	11.1 	13.9 	22.2 
008008	8	4	2	0	0	1	50.0 	75.0 	75.0 
007403	29	7	4	1	4	0	24.1 	37.9 	41.4 
008192	21	6	2	1	0	1	28.6 	38.1 	42.9 
007924	20	4	3	1	1	1	20.0 	35.0 	40.0 
007946	23	5	1	2	4	4	21.7 	26.1 	34.8 
008026	41	6	2	2	6	6	14.6 	19.5 	24.4 
008160	33	5	2	6	6	2	15.2 	21.2 	39.4 
008175	16	2	2	1	4	1	12.5 	25.0 	31.3 
007355	23	1	0	4	3	0	4.3 	4.3 	21.7 
007367	23	2	5	4	6	3	8.7 	30.4 	47.8 
008173	20	2	1	3	2	0	10.0 	15.0 	30.0 
007888	15	1	6	5	0	0	6.7 	46.7 	80.0 
007953	41	0	1	2	0	5	0.0 	2.4 	7.3 
008031	53	3	7	6	3	8	5.7 	18.9 	30.2 
008207	16	1	0	2	2	2	6.3 	6.3 	18.8 
007937	29	2	3	3	3	4	6.9 	17.2 	27.6 
008061	13	1	0	1	1	4	7.7 	7.7 	15.4 
008039	12	0	2	0	0	2	0.0 	16.7 	16.7 
008272	30	1	3	1	2	1	3.3 	13.3 	16.7 
007382	13	0	0	1	2	0	0.0 	0.0 	7.7 
007883	59	0	0	0	0	2	0.0 	0.0 	0.0 
008248	10	0	0	0	0	0	0.0 	0.0 	0.0 
008227	15	2	1	3	2	0	13.3 	20.0 	40.0 
007400	27	1	1	2	2	1	3.7 	7.4 	14.8 
008165	36	0	3	1	8	4	0.0 	8.3 	11.1 
007371	47	4	4	6	2	5	8.5 	17.0 	29.8 
007951	52	1	1	5	10	5	1.9 	3.8 	13.5 
008077	38	1	1	2	2	2	2.6 	5.3 	10.5 
008096	4	0	0	1	0	1	0.0 	0.0 	25.0 
007933	55	7	8	8	6	5	12.7 	27.3 	41.8 
008205	39	0	1	1	2	6	0.0 	2.6 	5.1 
008011	48	0	5	1	2	2	0.0 	10.4 	12.5 
008098	16	2	1	1	1	1	12.5 	18.8 	25.0 
008155	4	0	0	0	0	0	0.0 	0.0 	0.0 
008258	6	1	4	0	1	0	16.7 	83.3 	83.3 
008230	32	4	3	1	1	1	12.5 	21.9 	25.0 
008022	4	0	0	1	1	0	0.0 	0.0 	25.0 
007206	55	0	2	2	4	7	0.0 	3.6 	7.3 
007850	10	1	1	2	0	0	10.0 	20.0 	40.0 
008171	32	3	2	1	2	4	9.4 	15.6 	18.8 
008170	19	1	0	1	2	3	5.3 	5.3 	10.5 
008081	46	0	0	0	0	2	0.0 	0.0 	0.0 
008179	73	0	0	1	4	4	0.0 	0.0 	1.4 
007968	11	0	1	0	1	0	0.0 	9.1 	9.1 
007420	45	1	2	1	3	3	2.2 	6.7 	8.9 
008190	24	2	4	1	1	2	8.3 	25.0 	29.2 
007429	49	4	5	9	2	4	8.2 	18.4 	36.7 
008104	39	3	2	3	2	2	7.7 	12.8 	20.5 
008162	31	2	6	3	6	4	6.5 	25.8 	35.5 
007865	49	3	4	1	3	2	6.1 	14.3 	16.3 
007941	39	6	7	4	6	4	15.4 	33.3 	43.6 
007917	32	5	7	4	1	0	15.6 	37.5 	50.0 
007999	16	5	3	4	2	1	31.3 	50.0 	75.0 
007383	17	1	4	2	0	1	5.9 	29.4 	41.2 
007886	37	3	0	4	4	1	8.1 	8.1 	18.9 
008288	7	1	0	2	2	0	14.3 	14.3 	42.9 
007961	11	0	0	0	0	2	0.0 	0.0 	0.0 
008152	23	1	1	0	1	8	4.3 	8.7 	8.7 
007910	34	0	2	2	2	1	0.0 	5.9 	11.8 
007412	18	0	1	0	1	0	0.0 	5.6 	5.6 
007422	6	0	0	0	0	0	0.0 	0.0 	0.0 
008135	12	4	2	1	0	1	33.3 	50.0 	58.3 
007402	36	4	6	4	4	3	11.1 	27.8 	38.9 
007365	32	0	4	4	1	5	0.0 	12.5 	25.0 
007855	48	1	6	4	5	7	2.1 	14.6 	22.9 
007960	11	0	0	0	0	1	0.0 	0.0 	0.0 
008067	20	1	2	0	2	1	5.0 	15.0 	15.0 
008172	56	0	0	0	0	2	0.0 	0.0 	0.0 
