말id	전체 경기	통계1	통계2	통계3	통계4	통계5	승률	복승률	연승률
005277	6	0	1	0	0	0	0.0 	16.7 	16.7 
005458	25	0	3	2	3	2	0.0 	12.0 	20.0 
005497	11	1	0	0	0	1	9.1 	9.1 	9.1 
005652	28	4	2	4	2	2	14.3 	21.4 	35.7 
005664	2	0	0	0	0	0	0.0 	0.0 	0.0 
005612	13	0	0	0	0	2	0.0 	0.0 	0.0 
003188	55	5	4	6	2	5	9.1 	16.4 	27.3 
005253	11	2	0	1	1	0	18.2 	18.2 	27.3 
005138	45	2	2	3	1	5	4.4 	8.9 	15.6 
005544	4	2	1	0	0	0	50.0 	75.0 	75.0 
002410	86	14	5	5	10	8	16.3 	22.1 	27.9 
004754	23	2	1	1	1	1	8.7 	13.0 	17.4 
004579	16	3	2	0	1	1	18.8 	31.3 	31.3 
004161	51	6	4	5	5	0	11.8 	19.6 	29.4 
004004	38	5	2	5	3	2	13.2 	18.4 	31.6 
004160	51	7	5	6	6	4	13.7 	23.5 	35.3 
004824	10	0	0	0	0	0	0.0 	0.0 	0.0 
005287	20	1	0	0	2	0	5.0 	5.0 	5.0 
004810	14	0	3	1	2	2	0.0 	21.4 	28.6 
005380	12	2	3	3	1	1	16.7 	41.7 	66.7 
005615	15	2	1	1	1	2	13.3 	20.0 	26.7 
004679	21	2	1	1	1	2	9.5 	14.3 	19.0 
005452	19	3	3	1	1	3	15.8 	31.6 	36.8 
005032	15	1	4	1	3	1	6.7 	33.3 	40.0 
004781	25	4	4	2	0	1	16.0 	32.0 	40.0 
005078	12	2	2	2	0	0	16.7 	33.3 	50.0 
003561	45	6	1	2	7	7	13.3 	15.6 	20.0 
004427	20	4	2	1	0	0	20.0 	30.0 	35.0 
004009	33	5	5	7	6	4	15.2 	30.3 	51.5 
005134	12	6	3	1	0	0	50.0 	75.0 	83.3 
002069	109	18	14	16	21	7	16.5 	29.4 	44.0 
004517	37	8	3	4	7	3	21.6 	29.7 	40.5 
004457	20	5	2	1	2	0	25.0 	35.0 	40.0 
005436	4	0	0	0	0	0	0.0 	0.0 	0.0 
005101	11	0	0	0	0	1	0.0 	0.0 	0.0 
005596	2	0	0	0	0	0	0.0 	0.0 	0.0 
004326	29	1	6	1	3	4	3.4 	24.1 	27.6 
004636	17	0	2	0	1	1	0.0 	11.8 	11.8 
005085	27	2	3	1	1	4	7.4 	18.5 	22.2 
004906	29	5	2	4	4	4	17.2 	24.1 	37.9 
005202	30	2	0	5	2	3	6.7 	6.7 	23.3 
004787	17	4	2	2	3	1	23.5 	35.3 	47.1 
005417	32	5	3	2	0	2	15.6 	25.0 	31.3 
005252	12	2	2	1	1	2	16.7 	33.3 	41.7 
001896	131	16	23	16	9	8	12.2 	29.8 	42.0 
002864	53	13	8	4	2	6	24.5 	39.6 	47.2 
003863	44	3	7	3	5	4	6.8 	22.7 	29.5 
003207	53	6	6	7	6	4	11.3 	22.6 	35.8 
005235	60	1	4	7	3	7	1.7 	8.3 	20.0 
004699	17	0	1	1	1	2	0.0 	5.9 	11.8 
004253	31	1	1	2	2	3	3.2 	6.5 	12.9 
005569	3	0	0	0	0	0	0.0 	0.0 	0.0 
005020	21	2	3	0	0	1	9.5 	23.8 	23.8 
004153	26	5	7	3	1	2	19.2 	46.2 	57.7 
004074	31	7	3	6	0	0	22.6 	32.3 	51.6 
004442	16	6	0	0	0	3	37.5 	37.5 	37.5 
005006	11	0	0	0	0	0	0.0 	0.0 	0.0 
005191	9	0	2	2	1	1	0.0 	22.2 	44.4 
005179	2	0	0	0	0	0	0.0 	0.0 	0.0 
005283	5	0	2	0	0	1	0.0 	40.0 	40.0 
005311	11	2	3	1	0	2	18.2 	45.5 	54.5 
004953	27	3	4	2	2	4	11.1 	25.9 	33.3 
003823	53	6	6	6	3	2	11.3 	22.6 	34.0 
004756	20	6	4	1	4	0	30.0 	50.0 	55.0 
005502	3	0	1	0	1	0	0.0 	33.3 	33.3 
005294	7	0	1	0	0	1	0.0 	14.3 	14.3 
005630	3	0	0	1	0	0	0.0 	0.0 	33.3 
005691	1	0	0	0	0	0	0.0 	0.0 	0.0 
005285	62	1	3	10	10	4	1.6 	6.5 	22.6 
005258	8	1	0	0	0	0	12.5 	12.5 	12.5 
004435	38	2	3	6	4	2	5.3 	13.2 	28.9 
004597	14	0	2	1	2	1	0.0 	14.3 	21.4 
004902	15	2	2	0	1	0	13.3 	26.7 	26.7 
003901	39	2	1	7	7	5	5.1 	7.7 	25.6 
004283	26	3	3	3	0	1	11.5 	23.1 	34.6 
004820	22	2	2	3	3	2	9.1 	18.2 	31.8 
003889	28	5	6	3	3	6	17.9 	39.3 	50.0 
003548	45	7	2	6	4	5	15.6 	20.0 	33.3 
004432	23	4	5	6	1	3	17.4 	39.1 	65.2 
005194	6	0	0	0	0	0	0.0 	0.0 	0.0 
005379	26	4	4	2	4	2	15.4 	30.8 	38.5 
003642	44	5	3	5	1	1	11.4 	18.2 	29.5 
004683	13	3	2	2	1	0	23.1 	38.5 	53.8 
004693	38	5	6	1	2	6	13.2 	28.9 	31.6 
002538	69	11	9	9	3	5	15.9 	29.0 	42.0 
004769	9	0	1	0	1	1	0.0 	11.1 	11.1 
003506	55	3	3	3	3	7	5.5 	10.9 	16.4 
005103	9	3	3	1	0	0	33.3 	66.7 	77.8 
003956	30	3	3	2	0	3	10.0 	20.0 	26.7 
003522	50	3	4	7	5	3	6.0 	14.0 	28.0 
004257	22	6	3	1	0	1	27.3 	40.9 	45.5 
005505	7	1	0	1	2	0	14.3 	14.3 	28.6 
005459	5	0	1	0	0	0	0.0 	20.0 	20.0 
004978	55	0	2	0	3	3	0.0 	3.6 	3.6 
003554	40	3	2	4	2	6	7.5 	12.5 	22.5 
005181	8	0	0	0	0	0	0.0 	0.0 	0.0 
003112	74	2	9	13	6	5	2.7 	14.9 	32.4 
003624	60	2	9	5	7	7	3.3 	18.3 	26.7 
005571	4	0	0	0	0	0	0.0 	0.0 	0.0 
005631	2	0	0	0	1	0	0.0 	0.0 	0.0 
004370	13	1	2	0	1	0	7.7 	23.1 	23.1 
005093	13	1	0	1	1	1	7.7 	7.7 	15.4 
004531	23	1	1	1	0	3	4.3 	8.7 	13.0 
005074	7	3	0	0	0	0	42.9 	42.9 	42.9 
005108	10	5	0	0	0	0	50.0 	50.0 	50.0 
005670	4	0	0	0	0	1	0.0 	0.0 	0.0 
004441	23	2	2	2	3	3	8.7 	17.4 	26.1 
003476	52	3	5	6	4	3	5.8 	15.4 	26.9 
003799	42	5	5	3	7	3	11.9 	23.8 	31.0 
003736	43	6	4	3	3	3	14.0 	23.3 	30.2 
004147	33	4	6	6	5	2	12.1 	30.3 	48.5 
004394	24	5	4	3	2	1	20.8 	37.5 	50.0 
004527	0	0	0	0	0	0	0.0	0.0	0.0
003255	34	6	3	3	5	8	17.6 	26.5 	35.3 
003143	72	7	5	7	2	10	9.7 	16.7 	26.4 
004071	18	0	0	1	3	3	0.0	0.0	5.6
005245	10	4	1	0	1	1	40.0 	50.0 	50.0 
005118	9	0	0	0	0	3	0.0 	0.0 	0.0 
003603	54	5	7	4	6	4	9.3 	22.2 	29.6 
004644	16	0	1	0	0	2	0.0 	6.3 	6.3 
005196	8	0	0	1	0	0	0.0 	0.0 	12.5 
005489	18	1	0	1	1	5	5.6 	5.6 	11.1 
004486	25	1	2	8	4	2	4.0 	12.0 	44.0 
003577	69	2	5	10	4	5	2.9 	10.1 	24.6 
001336	127	11	15	8	9	12	8.7 	20.5 	26.8 
004743	26	0	7	6	4	4	0.0 	26.9 	50.0 
005278	6	2	0	1	1	2	33.3 	33.3 	50.0 
004018	35	3	1	3	6	2	8.6 	11.4 	20.0 
004524	18	4	4	3	1	2	22.2 	44.4 	61.1 
005392	45	0	3	5	4	1	0.0 	6.7 	17.8 
005613	12	4	0	0	1	0	33.3 	33.3 	33.3 
004658	23	3	6	4	5	2	13.0 	39.1 	56.5 
004873									
004463	16	6	3	1	3	1	37.5 	56.3 	62.5 
005627	2	0	0	0	0	0	0.0 	0.0 	0.0 
005423	1	0	0	0	0	0	0.0 	0.0 	0.0 
005391	4	0	1	0	0	1	0.0 	25.0 	25.0 
004066	33	2	3	4	5	3	6.1 	15.2 	27.3 
004424	23	3	3	3	3	5	13.0 	26.1 	39.1 
005217	8	0	2	0	0	0	0.0 	25.0 	25.0 
004097	32	4	2	3	1	4	12.5 	18.8 	28.1 
003913	33	7	5	1	4	4	21.2 	36.4 	39.4 
005444	16	2	3	2	0	2	12.5 	31.3 	43.8 
005443	2	0	0	0	0	0	0.0 	0.0 	0.0 
005062	8	1	1	1	0	0	12.5 	25.0 	37.5 
005298	3	2	0	0	0	0	66.7 	66.7 	66.7 
004722	17	4	1	4	2	3	23.5 	29.4 	52.9 
005023	3	0	0	1	0	0	0.0 	0.0 	33.3 
