날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20101219	1	1	11	센걸	한	암	2세	53		원정일	박희철	조병해		483(7)	6.9	1.9		024341	080344	070114	010457	0:14.2			0:25.6	0:44.3	0:38.7	0:13.5	1:16.7
20101219	1	2	13	용왕스프린트	한	수	2세	53		이상혁	배휴준	♠박정재	½	508(3)	2.3	1.4		025138	080437	070144	010801	0:14.0			0:25.6	0:44.3	0:38.8	0:13.7	1:16.8
20101219	1	3	12	시더스타	한	암	2세	53		함완식	김윤섭	이필승	5	448(-6)	22.9	3.0		024106	080342	070103	010212	0:14.5			0:25.9	0:45.0	0:39.2	0:13.7	1:17.7
20101219	1	4	14	천하번쩍	한	암	2세	53		부민호	홍대유	이종원	½	483(-3)	6.9	1.9		025039	080418	070145	010421	0:14.0			0:25.4	0:44.2	0:39.9	0:14.4	1:17.8
20101219	1	5	4	불패여제	한	암	2세	49		(-4)김정준	김학수	김병묵	머리	460(-10)	59.6	10.6		025401	080473	070107	010607	0:14.7			0:26.3	0:45.0	0:39.2	0:14.0	1:17.8
20101219	1	6	1	홀리몬태나	한	수	2세	53		문세영	하재흥	김병현	¾	497(8)	5.7	2.0		024404	080366	070034	010225	0:13.6			0:25.3	0:44.0	0:40.2	0:14.8	1:17.9
20101219	1	7	10	화살	한	거	2세	49		(-4)이강서	정지은	이해서	3	506(-5)	12.6	3.9		024338	080475	070028	109007	0:14.3			0:26.0	0:45.1	0:40.0	0:13.8	1:18.5
20101219	1	8	3	서밋러너	한	수	2세	53		조인권	배대선	이광수a	목	447(33)	105.2	13.5		024565	080438	070091	010276	0:15.0			0:27.1	0:46.2	0:38.9	0:13.4	1:18.5
20101219	1	9	7	일등별	한	수	2세	53		최범현	김명국	박양호	1¼	508(-3)	31.9	8.0		024344	080361	070088	010487	0:14.5			0:26.4	0:45.5	0:39.9	0:13.7	1:18.8
20101219	1	10	8	대성강호	한	수	2세	53		한성열	이인호	김영식	목	471(15)	11.3	4.1		024422	080349	070082	105170	0:15.5			0:27.8	0:46.5	0:38.7	0:13.3	1:18.8
20101219	1	11	2	에버마스터	한	수	2세	53		오경환	배휴준	권택종	1	489(11)	22.7	4.5		024353	080352	070144	105242	0:14.7			0:26.6	0:45.8	0:39.6	0:13.9	1:19.0
20101219	1	12	9	위너헌터	한	암	2세	53		정기용	박대흥	류순곤	2	483(26)	138.0	42.8		024082	080367	070092	010255	0:14.6			0:26.6	0:45.8	0:39.9	0:13.8	1:19.3
20101219	1	13	5	천수비전	한	수	2세	53		김귀배	황영원	선우패션	머리	463(1)	95.2	14.4		025211	080014	070102	030012	0:14.2			0:25.7	0:44.8	0:41.1	0:15.0	1:19.4
20101219	1	14	6	대승보배	한	수	2세	53		이동국	안해양	최명숙	12	474(-5)	84.8	25.7		025311	080363	070108	105164	0:14.2			0:26.3	0:45.8	0:42.2	0:15.4	1:21.4
20101219	2	1	10	기흥장군	한	수	2세	53		이준철	김대근	한일사료		497(-3)	5.0	1.5		024386	080353	070050	030034	0:13.9			0:25.9	0:45.2	0:38.3	0:13.4	1:17.0
20101219	2	2	1	영웅이천	한	수	2세	53		오경환	홍대유	이종욱	3	490(-2)	2.5	1.4		025033	080352	070145	065133	0:13.9			0:25.8	0:45.1	0:39.0	0:13.9	1:17.6
20101219	2	3	13	듀얼미사일	한	거	3세	55		최범현	양재철	박현종	1¾	413(4)	51.6	6.3		022995	080361	070048	010375	0:14.7			0:26.7	0:45.8	0:38.5	0:13.1	1:17.9
20101219	2	4	9	디데이플러스	한	거	3세	55		김철호	정지은	에쓰푸드(주)	코	486(3)	10.3	2.4		022415	080434	070028	104183	0:14.6			0:26.7	0:46.0	0:38.4	0:13.1	1:17.9
20101219	2	5	4	카카메가	한	수	2세	53		문세영	하재흥	김경민	1¼	502(0)	3.3	1.6		024402	080366	070034	010542	0:14.6			0:27.1	0:46.3	0:38.1	0:13.1	1:18.2
20101219	2	6	5	천상의빛	한	수	4세	57		정평수	황영원	정기찬	코	451(1)	82.9	6.5		020569	080106	070102	010182	0:14.2			0:26.1	0:45.6	0:39.1	0:13.6	1:18.2
20101219	2	7	14	하이센스	한	수	3세	55		김동철	지용철	최성룡	1¾	496(-3)	139.2	20.0		023244	080303	070051	105180	0:14.5			0:26.7	0:46.3	0:38.8	0:13.1	1:18.5
20101219	2	8	7	욱일천하	한	수	2세	53		함완식	박흥진	김길중	목	474(4)	27.8	5.2		024835	080342	070037	010486	0:14.3			0:26.5	0:45.8	0:39.3	0:13.8	1:18.5
20101219	2	9	2	프리트인그란	한	암	2세	53		문정균	김순근	청호컴넷(주)	½	459(1)	13.8	2.8		024094	080337	070105	030036	0:14.2			0:26.0	0:45.6	0:39.6	0:13.8	1:18.6
20101219	2	10	8	거센바다	한	암	3세	54		전덕용	이희영	신성철	4	421(2)	122.8	16.8		023170	080364	070053	010628	0:14.6			0:26.9	0:46.3	0:39.6	0:13.9	1:19.3
