날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20061224	1	1	12	소평	한	수	3세	55		한성열	신우철	이수근		452(-7)	7.4	1.8		016400	080349	070033	010528	0:13.8	0:00.0	0:00.0	0:37.5	0:57.6	0:39.9	0:13.4	1:30.8
20061224	1	2	10	버지니아	한	암	3세	54		전덕용	강명준	윤영기	4	438(-7)	48.3	9.3		015901	080364	070104	010009	0:13.3	0:00.0	0:00.0	0:36.7	0:56.7	0:41.4	0:14.8	1:31.5
20061224	1	3	9	성스러운	한	수	3세	55		윤태혁	박덕준	서승린	4	482(3)	39.0	6.4		016180	080350	070013	010079	0:13.9	0:00.0	0:00.0	0:38.0	0:58.3	0:40.8	0:14.0	1:32.3
20061224	1	4	8	산성으뜸	한	수	3세	55		김효섭	고옥봉	장홍주	1¼	485(0)	6.8	1.7		016408	080097	070080	104044	0:13.6	0:00.0	0:00.0	0:37.5	0:57.5	0:41.8	0:14.6	1:32.5
20061224	1	5	4	인베스트	한	거	3세	55		천창기	곽영효	허영희	½	463(-3)	1.8	1.2		015852	080092	070094	104011	0:13.9	0:00.0	0:00.0	0:37.2	0:57.4	0:42.0	0:14.7	1:32.6
20061224	1	6	5	레드시애틀	한	암	3세	54		최범현	김명국	풀무원건강식품(주)	목	439(6)	65.8	9.4		016455	080361	070088	030029	0:14.8	0:00.0	0:00.0	0:38.6	0:58.6	0:40.8	0:14.2	1:32.6
20061224	1	7	6	호령대장	한	거	3세	55		오경환	배휴준	이영숙	2½	441(-13)	13.6	4.1		015816	080352	070144	010087	0:13.6	0:00.0	0:00.0	0:36.9	0:57.1	0:42.9	0:15.2	1:33.1
20061224	1	8	1	영실기상	한	수	3세	55		황순도	김일성	임상윤	¾	487(-5)	14.0	3.6		016242	080343	070020	065025	0:13.8	0:00.0	0:00.0	0:37.0	0:57.1	0:42.8	0:15.3	1:33.2
20061224	1	9	2	대두령	한	수	3세	55		이기회	박종곤	곽영진	2½	443(7)	32.6	5.1		015869	080394	070095	010393	0:13.8	0:00.0	0:00.0	0:37.3	0:57.5	0:42.8	0:15.4	1:33.6
20061224	1	10	7	제국의꿈	한	수	3세	55		김옥성	김순근	청호컴넷(주)	목	475(2)	13.1	2.8		016466	080100	070105	030036	0:13.6	0:00.0	0:00.0	0:36.9	0:56.7	0:43.5	0:15.7	1:33.6
20061224	1	11	3	남벌	한	거	3세	55		최봉주	최상식	장현종	3	481(-12)	10.1	3.2		016231	080080	070085	104019	0:13.4	0:00.0	0:00.0	0:36.5	0:56.7	0:44.3	0:16.0	1:34.2
20061224	1		11	리얼챔피언	한	수	4세	57		이준철	홍대유	정수남	출전취소	0(0)	----	----		014252	080353	070145	104028								
20061224	2	1	2	일레이션	한	거	3세	55		우창구	지용훈	이선호		455(2)	3.2	1.3		015598	080046	070057	010559	0:13.8	0:00.0	0:00.0	0:38.3	0:58.2	0:39.0	0:13.3	1:30.5
20061224	2	2	10	코자크	한	수	3세	55		김효섭	박윤규	권혁인	1¼	505(-13)	1.8	1.3		015703	080097	070117	105216	0:13.7	0:00.0	0:00.0	0:38.0	0:57.7	0:39.5	0:13.5	1:30.7
20061224	2	3	7	푸른지평선	한	수	3세	55		문정균	김호	김봉조	1¾	457(7)	9.0	2.0		016472	080337	070153	010547	0:14.0	0:00.0	0:00.0	0:38.8	0:58.8	0:38.8	0:13.1	1:31.0
20061224	2	4	12	골든스니치	한	암	4세	55		문세영	정지은	최병욱	1¾	479(4)	7.1	2.0		014971	080366	070028	010610	0:13.8	0:00.0	0:00.0	0:38.3	0:58.2	0:39.7	0:13.6	1:31.3
20061224	2	5	9	연속석권	한	거	3세	55		박수홍	임봉춘	박성구	2½	487(-1)	305.6	21.1		015983	080328	070111	010244	0:14.2	0:00.0	0:00.0	0:38.7	0:58.7	0:39.8	0:13.6	1:31.8
20061224	2	6	6	싱싱소식	한	수	3세	55		오경환	김호	최상경	코	479(-7)	88.2	7.3		015769	080352	070153	010040	0:14.2	0:00.0	0:00.0	0:39.0	0:59.3	0:39.2	0:12.8	1:31.8
20061224	2	7	8	동해파워	한	거	3세	55		정기용	박대흥	강충모	5	432(24)	80.3	8.0		015950	080367	070092	010494	0:13.8	0:00.0	0:00.0	0:38.6	0:58.5	0:40.8	0:14.2	1:32.6
20061224	2	8	4	우리독도	한	거	3세	55		이기회	이광복	선우패션	2	460(-12)	27.2	3.3		015524	080394	070097	030012	0:14.2	0:00.0	0:00.0	0:39.1	0:59.5	0:40.2	0:13.6	1:33.0
20061224	2	9	3	진대풍	한	거	3세	55		한성열	신우철	진교원	2	453(1)	64.5	9.8		015716	080349	070033	010418	0:14.5	0:00.0	0:00.0	0:39.6	1:00.3	0:40.0	0:13.2	1:33.4
20061224	2	10	11	과천제왕	한	거	4세	57		방춘식	배대선	송현정	5	505(-6)	18.5	3.3		014246	080294	070091	105200	0:14.2	0:00.0	0:00.0	0:38.8	0:59.3	0:41.6	0:14.6	1:34.2
20061224	2	11	1	루돌프	한	거	3세	55		김혜성	박희철	문창완	1¾	472(3)	64.5	7.2		015925	080109	070114	105003	0:14.9	0:00.0	0:00.0	0:39.8	0:59.9	0:41.3	0:14.3	1:34.5
20061224	2	12	5	돈까밀로	한	거	3세	55		허재영	박흥진	김길중	9	474(-6)	308.9	25.9		016156	080358	070037	010486	0:15.1	0:00.0	0:00.0	0:40.2	1:01.2	0:41.9	1:14.3	1:36.1
20061224	3	1	1	바라아제	한	수	3세	54		송석헌	박진호	♠정동진		473(6)	7.7	1.7		015737	080048	070017	010298	0:13.9	0:13.9	0:26.0	1:04.5	1:18.3	0:41.0	0:13.8	1:52.2
