날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20131222	1	1	5	베스트나인	한	수	2세	53		이혁	이희영	베스트샤인조합		467(4)	21.5	5.1		029774	080486	070053	111067	0:14.4			0:26.3	0:46.0	0:37.6	0:12.1	1:16.9
20131222	1	2	2	윈드워커	한	수	3세	55		두소	박윤규	박덕희	2	485(-8)	2.8	1.5		028135	080526	070117	105249	0:14.2			0:25.8	0:45.3	0:38.6	0:13.0	1:17.3
20131222	1	3	3	일비	한	수	2세	53		장추열	배대선	이광수a	코	492(-2)	6.2	1.7		030605	080476	070091	010276	0:14.1			0:25.6	0:45.0	0:38.9	0:13.1	1:17.3
20131222	1	4	8	셰르파	한	수	3세	55		오경환	최상식	김경민	1¼	482(5)	12.1	2.7		027985	080352	070085	010542	0:14.1			0:25.8	0:45.3	0:38.8	0:13.1	1:17.5
20131222	1	5	7	퀸오브럭	한	암	2세	53		김혜선	서홍수	오종택	7	449(-6)	26.4	7.3		030263	080456	070160	105212	0:14.8			0:26.6	0:46.4	0:39.2	0:13.0	1:18.8
20131222	1	6	10	테네시퀸	한	암	2세	53		박태종	최봉주	♠오호극	머리	465(-4)	3.9	1.6		030565	080103	070152	010396	0:14.2			0:26.0	0:45.7	0:39.8	0:13.6	1:18.8
20131222	1	7	12	미라클캣	한	거	2세	53		황순도	김동균	이근우	코	443(-4)	70.8	14.7		030063	080343	070170	010268	0:15.0			0:27.1	0:46.8	0:38.6	0:13.0	1:18.8
20131222	1	8	11	비스트리	한	암	3세	50		(-4)조한별	황영원	선우패션	1¼	416(-7)	7.8	1.9		028055	080515	070102	030012	0:14.4			0:26.4	0:46.0	0:39.8	0:13.7	1:19.1
20131222	1	9	4	위닝점프	한	수	3세	55		전덕용	강명준	오왕근	½	467(14)	108.5	20.6		028437	080364	070104	105176	0:14.1			0:25.6	0:45.2	0:40.7	0:14.2	1:19.2
20131222	1	10	6	에이스	한	수	2세	53		이상혁	양희진	최현기	1¼	467(-12)	39.8	11.5		030722	080437	070171	110019	0:14.7			0:26.0	0:45.7	0:40.4	0:14.0	1:19.4
20131222	1	11	1	어메이징터치	한	암	2세	53		유승완	하재흥	김경민	4	475(-11)	93.3	18.3		029811	080417	070034	010542	0:14.7			0:26.8	0:46.7	0:40.2	0:13.7	1:20.1
20131222	1	12	13	평화포럼	한	암	2세	53		김동철	안병기	전성열	1	502(-4)	13.6	4.0		029809	080303	070146	111024	0:14.7			0:26.9	0:46.7	0:40.2	0:14.1	1:20.3
20131222	1	13	9	능금	한	암	2세	53		조경호	김효섭	♠김선식	1¼	420(4)	25.0	7.2		029826	080355	070159	106017	0:14.4			0:26.3	0:46.1	0:41.2	0:13.7	1:20.5
20131222	2	1	3	소통시대	한	수	2세	53		이상혁	하재흥	김경민		496(4)	1.4	1.0		029749	080437	070034	010542	0:14.2			0:26.1	0:45.0	0:38.6	0:13.3	1:17.1
20131222	2	2	6	펠리시티	한	암	2세	53		유승완	곽영효	김명식	2	477(3)	7.7	1.5		029800	080417	070094	010226	0:14.4			0:26.0	0:45.0	0:39.0	0:13.4	1:17.5
20131222	2	3	1	인디차일드	한	거	2세	54		김정준	서범석	우빈레저	1¼	479(2)	71.3	9.7		030629	080473	070096	110038	0:14.2			0:25.8	0:44.6	0:39.6	0:13.8	1:17.7
20131222	2	4	11	개선행진곡	한	수	2세	51		(-2)이찬호	김순근	이장한	1	477(4)	22.5	3.2		030531	080514	070105	010532	0:14.5			0:26.3	0:45.4	0:38.8	0:13.4	1:17.8
20131222	2	5	4	머니데이	한	암	3세	52		(-2)안효리	양재철	♠함춘	2½	436(-4)	21.8	2.7		027776	080500	070048	110036	0:15.1			0:26.6	0:45.2	0:39.4	0:13.6	1:18.2
20131222	2	6	8	지금이야	한	수	2세	53		김동철	지용철	최성룡	¾	499(1)	166.2	12.6		029660	080303	070051	105180	0:15.0			0:26.7	0:45.6	0:39.2	0:13.4	1:18.4
20131222	2	7	5	스피드닥터	한	수	2세	53		두소	김양선	최수군	2	476(-9)	15.9	3.9		030129	080526	070035	010630	0:14.4			0:26.0	0:45.0	0:40.2	0:14.0	1:18.7
20131222	2	8	2	퍼스트워리어	한	암	2세	54		장추열	배대선	이미양	머리	447(-9)	163.7	21.5		030274	080476	070091	106223	0:14.2			0:25.8	0:44.6	0:40.6	0:14.4	1:18.8
20131222	2	9	10	세이로즈	한	암	3세	54		박상우	황영원	김순건	½	431(-6)	193.5	16.7		028022	080457	070102	065045	0:14.7			0:26.6	0:45.2	0:40.0	0:13.9	1:18.8
20131222	2	10	7	인라이프	한	수	2세	53		정평수	최영주	함운일	1¼	506(0)	4.8	1.5		029896	080106	070098	010430	0:14.4			0:26.2	0:45.5	0:40.1	0:14.0	1:19.0
20131222	2	11	9	비천	한	암	3세	50		(-4)박종현	우창구	장수영	4	463(2)	65.2	6.9		027980	080474	070149	010476	0:14.9			0:26.7	0:45.6	0:40.5	0:14.4	1:19.7
20131222	2	12	12	천하미인	한	암	2세	53		오경환	최상식	제일사료(주)	9	462(-12)	172.5	23.1		030193	080352	070085	105270	0:15.0			0:27.3	0:47.1	0:41.2	0:13.2	1:21.4
20131222	3	1	1	포트레이	한	암	2세	53		김혜선	이희영	♠서순배		473(0)	1.6	1.1		029676	080456	070053	104038	0:14.0			0:23.3	0:37.5	0:38.7	0:13.2	1:09.1
20131222	3	2	4	클레이건	한	암	3세	54		최범현	배휴준	김용래	6	473(-10)	3.9	1.3		028073	080361	070144	065012	0:14.0			0:23.5	0:37.7	0:39.6	0:13.8	1:10.2
20131222	3	3	5	최고사랑	한	암	2세	53		두소	김양선	♠박남성	2	480(0)	8.6	1.6		030859	080526	070035	010496	0:14.2			0:23.9	0:38.4	0:39.4	0:13.5	1:10.6
20131222	3	4	9	최강하버	한	암	2세	54		조경호	신우철	인천연합	5	411(1)	7.9	1.8		029556	080355	070033	112283	0:14.0			0:23.8	0:38.4	0:40.3	0:13.6	1:11.5
20131222	3	5	3	비연적후	한	암	3세	54		이기회	곽영효	구본순	2	478(10)	26.4	3.2		028760	080394	070094	109006	0:14.4			0:24.6	0:39.1	0:39.9	0:13.5	1:11.8
20131222	3	6	10	마리아고	한	암	2세	54		유승완	김윤섭	조창규	¾	442(-7)	244.7	25.9		030488	080417	070103	065096	0:14.4			0:24.4	0:39.0	0:40.3	0:13.6	1:11.9
20131222	3	7	8	금빛비상	한	암	2세	51		(-2)이찬호	김순근	♠최동천	2	442(-3)	187.2	26.7		030861	080514	070105	104005	0:13.9			0:23.5	0:38.1	0:41.5	0:14.4	1:12.3
20131222	3	8	11	칼리	한	암	2세	51		(-2)이아나	송문길	고창범	1¾	442(1)	264.5	18.3		030442	080485	070179	065093	0:14.6			0:24.8	0:39.5	0:40.4	0:13.8	1:12.6
20131222	3	9	7	마루원더풀	한	암	2세	53		장추열	정호익	최현기	4	407(1)	98.5	12.2		029497	080476	070148	110019	0:14.6			0:24.6	0:39.4	0:41.3	0:13.8	1:13.2
20131222	3	10	2	스트롱포리	한	암	2세	53		방춘식	홍대유	정춘복	1	439(-5)	129.6	18.3		030331	080294	070145	105188	0:14.4			0:23.9	0:38.0	0:42.6	0:15.2	1:13.4
20131222	3	11	12	아이리스이천	한	암	3세	54		전덕용	심승태	이종욱	32	439(6)	26.9	3.6		028572	080364	070166	065133	0:14.1			0:23.9	0:39.1	0:47.4	0:18.5	1:19.0
20131222	3		6	퀸라이트	한	암	2세	53		오경환	최상식	변갑한	주행중지	469(-4)	215.3	17.2		030010	080352	070085	109014								
20131222	4	1	7	파라오	한	수	2세	53		서승운	김양선	(주)나스카		484(-15)	6.7	2.6		030833	080484	070035	110034	0:13.9			0:25.6	0:44.6	0:38.4	0:13.0	1:16.5
20131222	4	2	2	챔피언트로피	한	수	2세	53		최범현	김효섭	김영식	코	533(0)	2.1	1.1		030024	080361	070159	105170	0:13.6			0:25.5	0:44.4	0:38.6	0:13.2	1:16.5
20131222	4	3	1	백두령	한	거	3세	51		(-4)조한별	신우철	이수홍	4	470(-12)	14.4	2.8		027642	080515	070033	020005	0:14.4			0:26.2	0:45.8	0:38.0	0:12.8	1:17.2
20131222	4	4	6	레인배블	한	암	4세	51		(-4)박종현	안해양	♠최동천	4	484(7)	28.4	6.1		027039	080474	070108	104005	0:13.7			0:25.7	0:44.8	0:39.7	0:13.8	1:17.9
20131222	4	5	11	상왕전	한	암	2세	53		장추열	배대선	이한목	¾	484(13)	4.8	1.8		029621	080476	070091	110020	0:14.3			0:25.8	0:45.5	0:39.2	0:13.3	1:18.0
20131222	4	6	8	설레는마음	한	암	3세	54		이혁	유재길	제주축산개발	3	414(-14)	10.8	2.1		028736	080486	070110	030013	0:14.3			0:26.5	0:46.0	0:39.2	0:13.5	1:18.6
20131222	4	7	3	사금파리	한	거	3세	55		조경호	임봉춘	김종철	2½	438(-5)	104.6	13.2		028385	080355	070111	010043	0:14.7			0:26.7	0:46.3	0:39.5	0:13.5	1:19.0
20131222	4	8	12	특별소녀	한	암	3세	54		유재필	양희진	구경회	1	424(2)	6.6	2.0		028879	080368	070171	105214	0:14.5			0:26.7	0:46.1	0:39.7	0:13.9	1:19.2
20131222	4	9	10	금아돌풍	한	암	2세	53		이상혁	이신영	♠김도욱	¾	461(-6)	88.7	12.6		030191	080437	070167	109025	0:14.2			0:25.7	0:45.0	0:40.8	0:14.3	1:19.3
20131222	4	10	9	덕봉산	한	수	4세	55		(-2)이아나	정지은	권광세	2	541(18)	36.3	7.5		026073	080485	070028	010441	0:14.1			0:26.0	0:45.1	0:41.2	0:14.8	1:19.7
20131222	4	11	5	환희의찬가	한	수	2세	53		박태종	손영표	김지훈	1	474(-16)	56.8	9.1		029732	080103	070150	104012	0:14.7			0:26.7	0:46.5	0:40.2	0:13.8	1:19.9
20131222	4	12	4	프레데터	한	거	2세	53		김혜선	송문길	박치문	7	376(-13)	109.8	19.6		029680	080456	070179	020013	0:14.3			0:26.2	0:45.8	0:42.0	0:14.9	1:21.1
