날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
19951224	1	1	09	명장	뉴	거	4세	56		김효섭	이인호	박성구		473(-39)	1.6	1.2		007193	080097	070082	010244				0:14.2	0:32.3	0:39.2		1:04.9
19951224	1	2	11	태양열	뉴	거	4세	56		임대규	김충근	박영욱	5	449(-5)	6.5	1.3		007053	080093	070029	010161				0:14.2	0:32.7	0:39.9		1:05.9
19951224	1	3	01	꼭두쇠	뉴	암	3세	54		방춘식	홍성범	최원곤	2	431(-12)	10.0	2.7		007046	080294	070026	010199				0:14.4	0:32.6	0:40.3		1:06.3
19951224	1	4	13	월명산	뉴	암	4세	55		김재섭	김상원	전홍규	1½	493(1)	128.0	21.3		007216	080096	070038	010374				0:14.5	0:32.5	0:40.7		1:06.6
19951224	1	5	03	대용천	아일	암	5세	53		이준희	강승영	권영원	머리	437(-1)	6.9	1.9		006763	080302	070052	010144				0:14.7	0:33.9	0:39.6		1:06.6
19951224	1	6	10	승지봉	호	암	5세	56		박태종	강석철	오일랑	머리	480(-2)	31.9	6.0		006410	080103	070046	010195				0:15.3	0:33.6	0:39.7		1:06.6
19951224	1	7	12	구름돌이	뉴	암	3세	54		우창구	강윤식	박승만	½	430(-7)	162.7	25.2		007049	080046	070022	010066				0:15.0	0:33.9	0:39.7		1:06.7
19951224	1	8	14	★보문산	뉴	수	5세	57		최기홍	정지은	신정철	2	464(2)	18.0	4.0		006476	080104	070028	010275				0:14.5	0:32.6	0:41.2		1:07.1
19951224	1	9	07	수지퀸	뉴	암	3세	54		정호익	김양선	이위지	1¼	478(-7)	9.2	2.1		007061	080112	070035	010360				0:14.4	0:33.6	0:40.7		1:07.4
19951224	1	10	08	구암리	한	암	3세	52		김윤섭	강윤식	배순훈	5	469(-5)	190.3	27.8		005968	080116	070022	010287				0:14.7	0:33.9	0:41.4		1:08.4
19951224	1	11	02	타이드	뉴	암	3세	54		홍대유	박원선	양재열	1¾	402(-1)	129.4	22.2		007202	080074	070007	010308				0:14.7	0:34.4	0:41.4		1:08.7
19951224	1	12	04	파괴력	뉴	암	4세	55		고홍석	이제백	김연호	1½	447(-15)	84.6	16.0		007022	080115	070090	010344				0:15.0	0:35.3	0:41.0		1:09.0
19951224	1	13	05	씨앗	호	암	4세	55		천창기	양재철	박현종	1	478(-12)	78.8	8.1		007161	080092	070048	010375				0:15.6	0:35.8	0:40.6		1:09.2
19951224	1	14	06	무릉도원	뉴	수	3세	55		장세한	박진호	신영화	3	482(3)	270.6	32.9		007187	080113	070017	010037				0:15.9	0:36.4	0:40.4		1:09.8
19951224	2	1	03	아담	호	거	3세	55		최봉주	김충근	정이순		471(0)	2.9	1.4		007328	080080	070029	010128				0:15.9	0:33.9	0:38.4		1:05.9
19951224	2	2	07	대불광	호	암	4세	55		최기홍	김광호	이상홍	1½	436(0)	9.8	2.4		007317	080104	070021	010034				0:14.6	0:32.8	0:40.0		1:06.2
19951224	2	3	01	뉴모아	호	거	4세	56		방춘식	홍성범	이종휘	2½	440(0)	21.3	3.9		007319	080294	070026	010367				0:15.4	0:33.9	0:39.3		1:06.7
19951224	2	4	05	뱅쿠버	호	암	3세	54		홍대유	박원선	최상경	머리	422(8)	28.8	4.5		007298	080074	070007	010040				0:14.3	0:32.7	0:40.7		1:06.7
19951224	2	5	08	화이트키	호	암	4세	55		정호익	김양선	정세능	2	440(0)	6.1	1.7		007333	080112	070035	010058				0:15.6	0:33.9	0:39.8		1:07.1
19951224	2	6	04	다디로	호	거	4세	56		김혜성	하재흥	이중연	1	442(11)	8.2	2.0		007332	080109	070034	010067				0:14.4	0:32.8	0:41.2		1:07.3
19951224	2	7	06	월세계	호	거	4세	56		배휴준	권세창	박상단	3	513(0)	2.5	1.2		007316	080022	070089	010338				0:14.6	0:33.0	0:41.6		1:07.9
19951224	2	8	02	성문산	호	암	4세	55		김태경	윤치운	이기인	¾	432(0)	25.2	4.3		007314	080296	070084	010065				0:16.0	0:34.8	0:40.0		1:08.0
19951224	3	1	04	가엽산	뉴	거	5세	57		김효섭	이인호	민태구		439(-8)	3.5	1.5		006439	080097	070082	010003				0:27.5	0:46.7	0:39.7		1:19.8
19951224	3	2	12	강산에	뉴	거	5세	57		홍대유	박원선	이의종	1	432(-1)	27.7	4.4		006445	080074	070007	010109				0:27.4	0:46.9	0:39.8		1:20.0
19951224	3	3	06	대본	뉴	거	3세	55		이광복	이희영	박정열	2	450(4)	6.6	1.7		007197	080066	070053	010243				0:27.0	0:46.8	0:40.3		1:20.4
19951224	3	4	07	무지개	뉴	거	4세	56		장세한	박진호	권중기	1	471(8)	10.7	2.8		007015	080113	070017	010377				0:27.5	0:47.5	0:40.0		1:20.6
19951224	3	5	14	계룡산봉	뉴	암	3세	54		조용배	최상식	민영길	1¼	484(-2)	2.3	1.4		007047	080095	070085	010294				0:26.7	0:46.6	0:41.1		1:20.9
19951224	3	6	03	실버벨	뉴	암	4세	55		임대규	김일성	이종복	1¾	387(-5)	41.1	9.8		006444	080093	070020	010173				0:28.6	0:48.8	0:39.3		1:21.2
19951224	3	7	13	광천	뉴	암	3세	54		김태경	김재복	이영직	1¼	441(2)	37.9	7.8		007180	080296	070015	010049				0:28.9	0:48.9	0:39.4		1:21.5
19951224	3	8	02	미스타빅	뉴	거	4세	55		강명준	김문갑	이종철	2	490(-7)	8.1	2.2		007088	080123	070087	010385				0:28.2	0:48.1	0:40.7		1:21.9
19951224	3	9	11	기상	뉴	암	4세	55		전기혁	임형규	김명식	머리	428(4)	60.6	16.4		006608	080049	070016	010226				0:27.1	0:46.8	0:41.9		1:21.9
19951224	3	10	10	건비성	호	거	4세	53		박복규	박원덕	박찬준	1½	402(4)	82.0	19.7		006976	080304	070056	010157				0:27.1	0:47.4	0:41.8		1:22.2
19951224	3	11	01	코아	뉴	암	5세	53		김동철	장두천	임인수	3	427(-5)	99.6	21.3		006440	080303	070045	010246				0:27.8	0:47.9	0:41.8		1:22.8
19951224	3	12	08	알레스카	호	암	4세	55		김옥성	박원덕	이종석	2½	419(-5)	30.5	5.7		006337	080100	070056	010145				0:28.4	0:48.7	0:41.6		1:23.3
19951224	3	13	05	그랜드힐	뉴	암	3세	54		김혜성	하재흥	윤영기	10	459(1)	93.8	12.2		007059	080109	070034	010009				0:27.4	0:47.7	0:44.7		1:25.3
19951224	3	14	09	자랑이	아일	암	5세	56		조규억	장두천	천병득	머리	438(-6)	94.9	11.2		006747	080045	070045	010190				0:28.1	0:48.1	0:44.1		1:25.3
19951224	4	1	10	젯트	호	암	4세	55		방춘식	홍성범	이종휘		464(-3)	4.2	1.4		007131	080294	070026	010367				0:26.0	0:45.2	0:40.7		1:19.3
19951224	4	2	01	실비아	아일	암	3세	54		서영석	양재철	박현종	½	430(1)	5.5	1.7		006752	080087	070048	010375				0:27.1	0:45.9	0:40.0		1:19.4
19951224	4	3	11	닥터킴벌	뉴	거	4세	56		김창옥	김점오	조용오	1½	491(0)	10.7	2.2		007204	080071	070058	010015				0:25.7	0:45.0	0:41.4		1:19.7
19951224	4	4	05	루키	호	거	4세	56		고홍석	이제백	김연호	1	453(-4)	1.8	1.2		007098	080115	070090	010344				0:27.1	0:46.5	0:40.2		1:19.9
19951224	4	5	07	보길도	호	암	6세	55		정호익	김양선	류흥목	¾	433(-5)	61.4	7.2		005463	080112	070035	010051				0:26.5	0:45.6	0:41.0		1:20.0
19951224	4	6	09	대안	호	수	4세	56		김윤섭	지용철	박형인	코	458(-5)	130.2	12.0		006416	080116	070051	010149				0:26.4	0:45.9	0:40.7		1:20.0
19951224	4	7	06	티티카카	호	암	4세	55		곽영효	배대선	조용학	2½	432(-1)	11.5	2.7		006904	080078	070091	010362				0:26.3	0:45.5	0:41.7		1:20.5
19951224	4	8	03	마옥산	뉴	암	5세	53		박복규	박흥진	김광동	코	435(-1)	186.9	30.5		006231	080304	070037	010031				0:27.8	0:47.3	0:39.9		1:20.5
19951224	4	9	12	그린웨이브	호	암	3세	54		우창구	강종문	권영술	¾	435(-3)	42.5	7.6		007117	080046	070032	010126				0:27.4	0:46.8	0:40.4		1:20.6
19951224	4	10	02	예티	호	암	4세	55		홍대유	박원선	김종수	1¼	431(-1)	27.0	5.1		007108	080074	070007	010371				0:27.5	0:46.7	0:40.9		1:20.9
19951224	4	11	08	도현	뉴	암	4세	55		김택수	최혜식	최윤호	½	429(-7)	67.0	14.0		007239	080086	070040	010363				0:26.9	0:46.5	0:41.4		1:21.0
19951224	4	12	04	운악산	뉴	암	5세	56		한유영	정찬근	원흥순	1½	431(2)	145.4	18.4		005832	080024	070044	010343				0:27.4	0:46.7	0:41.3		1:21.3
19951224	4	13	13	인텐스	뉴	암	4세	55		배휴준	강윤식	박승만	½	438(6)	282.7	24.2		006471	080022	070022	010066				0:27.0	0:46.7	0:41.5		1:21.4
19951224	4	14	14	가야산	한	암	6세	53		최기홍	김광호	이규갑	3	517(-1)	175.1	23.9		004663	080104	070021	010285				0:27.4	0:47.6	0:41.2		1:22.0
