날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20111218	1	1	1	원손	한	암	3세	54		김영진	박천서	이동일		436(-1)	1.9	1.2		024479	080360	070115	105189	0:14.4			0:38.8	0:58.7	0:39.5	0:13.4	1:31.7
20111218	1	2	9	아스떼리	한	암	3세	54		마코토	박윤규	♠김양호	½	453(-11)	10.5	2.8		024486	080480	070117	010590	0:14.6			0:39.2	0:59.0	0:39.3	0:13.3	1:31.8
20111218	1	3	7	그린폴리스	한	암	3세	53		정평수	최영주	김순건	1½	419(16)	18.4	3.5		024445	080106	070098	065045	0:14.0			0:38.6	0:58.5	0:40.2	0:13.5	1:32.0
20111218	1	4	6	댄싱하이츠	한	암	3세	54		김옥성	김학수	♠지대섭	1¼	483(1)	4.7	1.4		024087	080100	070107	010498	0:14.5			0:38.6	0:58.3	0:40.6	0:13.8	1:32.2
20111218	1	5	4	폴리	한	암	3세	54		전덕용	홍대유	김인호	½	481(3)	26.6	6.3		024686	080364	070145	105175	0:14.4			0:38.6	0:58.3	0:40.7	0:14.0	1:32.3
20111218	1	6	11	공덕이	한	암	3세	54		최원준	박천서	심상춘	1¾	412(0)	22.7	3.7		024980	080419	070115	010026	0:15.3			0:40.0	0:59.9	0:39.2	0:13.5	1:32.6
20111218	1	7	2	오페라축제	한	암	3세	54		심승태	곽영효	양수화	목	478(6)	16.1	3.6		024547	080359	070094	010529	0:14.4			0:38.9	0:59.4	0:39.9	0:13.4	1:32.6
20111218	1	8	12	롱런오페라	한	암	3세	54		이상혁	안병기	최건호	1	459(4)	7.5	2.5		024786	080437	070146	010438	0:13.9			0:38.2	0:58.1	0:41.3	0:14.5	1:32.8
20111218	1	9	5	필승제일	한	암	3세	54		이준철	양재철	박성구	1½	430(4)	224.6	27.3		024710	080353	070048	010244	0:14.1			0:38.8	0:58.7	0:40.9	0:14.1	1:33.1
20111218	1	10	10	산호세	한	암	3세	54		김귀배	황영원	고제광	2½	403(-4)	48.8	8.4		025331	080014	070102	110012	0:14.1			0:38.5	0:58.3	0:41.9	0:14.5	1:33.5
20111218	1	11	14	대승대감	한	암	3세	54		마이	안해양	최명숙	2½	508(11)	33.8	6.1		025095	080479	070108	105164	0:13.7			0:38.0	0:58.1	0:42.6	0:15.6	1:34.0
20111218	1	12	13	좋은시절	한	암	3세	52		(-2)이강서	신삼영	장철환	7	436(-6)	188.8	18.9		025116	080475	070161	010644	0:14.4			0:39.6	1:00.3	0:41.6	0:14.2	1:35.1
20111218	1	13	3	베스트시티	한	암	3세	54		황순도	배휴준	허영희	목	423(1)	135.7	14.6		024169	080343	070144	104011	0:13.9			0:38.4	0:58.3	0:43.6	0:16.2	1:35.2
20111218	1	14	8	마이어	한	암	3세	54		허재영	배휴준	김기성	¾	410(5)	215.1	36.4		024814	080358	070144	104029	0:14.4			0:39.2	0:59.4	0:42.5	0:14.9	1:35.3
20111218	2	1	5	돌풍강호	한	수	2세	53		최범현	김양선	강석대		493(2)	1.2	1.1		026911	080361	070035	105211	0:13.6			0:36.8	0:56.3	0:39.4	0:13.4	1:29.0
20111218	2	2	11	정상나래	한	거	3세	55		박태종	배대선	최홍일	½	480(2)	11.6	2.4		024783	080103	070091	110016	0:13.4			0:36.5	0:55.3	0:40.2	0:14.2	1:29.1
20111218	2	3	8	퍼펙트특급	한	수	2세	53		전덕용	박흥진	권태우	2½	478(3)	31.7	4.6		026890	080364	070037	010469	0:13.8			0:38.0	0:57.1	0:38.9	0:13.3	1:29.5
20111218	2	4	1	즐거운세상	한	거	3세	54		(-1)박상우	최봉주	김원숙	5	436(-1)	50.1	4.1		024668	080457	070152	111008	0:14.3			0:38.6	0:57.8	0:38.9	0:13.3	1:30.3
20111218	2	5	2	특급이벤트	한	수	3세	53		(-2)이강서	손영표	김종한	코	457(-4)	215.0	8.6		024658	080475	070150	010315	0:14.0			0:38.1	0:57.5	0:39.3	0:13.6	1:30.4
20111218	2	6	12	타임존	한	거	3세	52		(-3)서승운	정호익	송봉규	½	497(3)	17.0	2.3		024973	080484	070148	010814	0:13.6			0:36.6	0:55.5	0:41.4	0:14.9	1:30.5
20111218	2	7	4	대청천	한	수	2세	53		조인권	배휴준	황수웅	¾	483(1)	49.6	8.4		027060	080438	070144	010636	0:13.8			0:37.9	0:57.3	0:40.0	0:13.7	1:30.6
20111218	2	8	13	사하라	한	암	3세	54		마이	김명국	♠오호극	2	441(4)	150.1	15.4		025343	080479	070088	010396	0:14.5			0:39.0	0:58.1	0:39.1	0:13.6	1:30.9
20111218	2	9	6	굿파트너	한	암	3세	54		허재영	천창기	♠장석영	½	463(3)	182.0	9.8		024193	080358	070162	010355	0:14.7			0:39.1	0:58.7	0:38.8	0:13.4	1:31.0
20111218	2	10	9	레드머니	한	수	3세	55		이동국	이신영	일진코스메틱	¾	456(5)	42.5	3.7		024942	080363	070167	030028	0:14.0			0:38.6	0:58.1	0:39.4	0:13.9	1:31.2
20111218	2	11	14	어필링제일	한	거	2세	53		김옥성	임봉춘	임상윤	목	468(-2)	6.8	1.5		026829	080100	070111	065025	0:14.0			0:36.6	0:55.7	0:41.9	0:15.2	1:31.2
20111218	2	12	3	챔피언갤럽	한	암	3세	54		마코토	박원덕	이미경	3	444(1)	142.8	15.5		024810	080480	070056	105161	0:14.6			0:38.1	0:57.1	0:41.2	0:14.8	1:31.8
20111218	2	13	7	금별이	한	암	3세	54		이금주	서정하	김선교	1	449(5)	373.8	25.7		025408	080356	070113	109009	0:13.7			0:37.6	0:56.9	0:41.5	0:14.9	1:31.9
20111218	2	14	10	킹덤레이스	한	암	2세	53		이상혁	박대흥	이동기	¾	464(-6)	143.8	9.9		026785	080437	070092	010481	0:14.0			0:38.4	0:57.8	0:40.7	0:14.5	1:32.1
20111218	3	1	2	올인윈	한	암	2세	53		문정균	김윤섭	양길순		458(3)	24.6	3.7		026353	080337	070103	010312	0:14.2			0:14.2	0:31.7	0:37.1	0:12.7	1:02.5
20111218	3	2	5	준막시무스	한	수	2세	53		양희진	박재우	강홍수	4	491(2)	2.1	1.2		026608	080333	070164	010424	0:13.7			0:13.7	0:31.4	0:38.1	0:13.3	1:03.2
20111218	3	3	12	닥터케이	한	암	2세	53		마이	최봉주	윤문수	목	431(4)	36.3	5.6		026599	080479	070152	010524	0:14.3			0:14.3	0:32.1	0:37.5	0:12.8	1:03.2
20111218	3	4	7	미담	한	암	2세	53		이기회	홍대유	김재용	1¼	468(-1)	4.3	1.7		025839	080394	070145	111001	0:14.4			0:14.4	0:32.1	0:37.6	0:12.8	1:03.4
20111218	3	5	10	수너베터	한	수	2세	53		박병윤	하재흥	이종철	2½	487(26)	4.8	2.0		026779	080435	070034	010385	0:14.0			0:14.0	0:31.7	0:38.5	0:13.6	1:03.8
20111218	3	6	8	아우토반	한	거	2세	53		고성이	박천서	베스트샤인조합	1	454(7)	57.1	5.9		026748	080326	070115	111067	0:15.2			0:15.2	0:33.1	0:37.2	0:12.5	1:04.0
20111218	3	7	3	하이캐슬	한	암	2세	53		이상혁	박병일	류재욱	1¼	454(-8)	23.3	3.6		026981	080437	070163	110001	0:14.5			0:14.5	0:33.1	0:37.4	0:12.9	1:04.2
20111218	3	8	1	삼권장악	한	암	2세	53		황순도	배휴준	♠최동천	1½	450(-4)	138.0	17.2		026096	080343	070144	104005	0:14.4			0:14.4	0:32.6	0:38.4	0:13.1	1:04.5
20111218	3	9	4	아라제일	한	암	2세	52		(-1)박상우	박대흥	최애식	머리	474(-6)	41.8	6.5		026454	080457	070092	010221	0:15.2			0:15.2	0:33.0	0:37.7	0:13.0	1:04.5
20111218	3	10	9	천리기상	한	수	2세	53		최범현	김양선	강석대	½	500(-13)	6.7	1.9		025931	080361	070035	105211	0:14.4			0:14.4	0:32.1	0:38.8	0:13.6	1:04.6
20111218	3	11	6	사르카	한	암	2세	50		(-3)서승운	우창구	우순근	2	444(0)	119.3	15.1		025841	080484	070149	105169	0:14.8			0:14.8	0:32.9	0:38.4	0:13.5	1:05.0
20111218	3	12	11	홀리파티	한	암	2세	53		최원준	정지은	김지훈	12	411(18)	83.8	8.6		027127	080419	070028	104012	0:14.1			0:14.1	0:32.0	0:41.6	0:15.7	1:07.0
20111218	4	1	3	사모곡	미	수	2세	53		김동철	지용철	오만준		511(-2)	1.3	1.0		029039	080303	070051	010247	0:14.0			0:14.0	0:30.7	0:36.1	0:12.6	1:00.8
