날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20191201	1	1	5	뉴문워리어	한	거	2세	55		박태종	송문길	최종환		486(1)	1.2	1.1	망사+	040479	080103	070179	010808	0:13.5			0:30.7	0:49.4	0:37.6	0:13.2	1:20.8
20191201	1	2	9	금아플로러스	한	수	2세	54		박을운	이신영	♠금아산업(주)	7	518(7)	13.1	1.5	망사	041481	080339	070167	117038	0:13.6			0:31.0	0:49.6	0:38.5	0:13.7	1:21.9
20191201	1	3	8	대승퀸	한	암	2세	53.5		함완식	박대흥	김명식	¾	483(2)	3.4	1.2	망사	041612	080342	070092	010226	0:13.7			0:30.8	0:49.4	0:38.9	0:14.0	1:22.1
20191201	1	4	11	베스트탑	한	수	2세	54.5		송재철	이희영	베스트샤인조합	4	465(5)	75.3	3.5	망사, 승인편자	041501	080513	070053	111067	0:13.8			0:31.2	0:50.2	0:38.9	0:13.6	1:22.7
20191201	1	5	6	백두산천지	한	수	2세	54		이현종	박병일	♠이관형	1¾	479(4)	61.0	2.5		040576	080548	070163	105163	0:14.0			0:32.0	0:50.9	0:38.4	0:13.2	1:23.0
20191201	1	6	2	땡큐대천	한	수	2세	54		유승완	정호익	강용식	4	489(11)	47.5	3.1		041045	080417	070148	010578	0:14.0			0:31.7	0:50.9	0:39.4	0:13.7	1:23.7
20191201	1	7	1	트루	한	암	2세	52		김동수	조현수	이혜란	¾	460(4)	172.8	11.0	계란형큰, 망사눈	041423	080529	070199	900116	0:14.0			0:31.3	0:50.3	0:39.9	0:14.1	1:23.8
20191201	1	8	4	엘리트어게인	한	암	2세	52		박병윤	유재길	♠태희종합건설	½	464(0)	259.4	17.3		040822	080435	070110	900065	0:14.3			0:32.3	0:51.4	0:38.9	0:13.4	1:23.9
20191201	1	9	10	이비사걸	한	암	2세	52		조한별	리카디	♠공이공팔	코	434(13)	431.6	23.7		041846	080515	070244	116054	0:13.9			0:31.5	0:50.7	0:39.8	0:14.0	1:23.9
20191201	1	10	7	달리는꿈	한	암	2세	52		하정훈	지용철	이수길	¾	478(3)	353.4	26.1	망사눈	041190	080552	070051	010264	0:14.0			0:32.1	0:50.9	0:39.4	0:13.6	1:24.0
20191201	1	11	3	강철다리	한	암	2세	52		안효리	서정하	♠공이공팔	2½	464(5)	310.6	29.1	계란형큰, 망사	040444	080500	070113	116054	0:13.7			0:31.1	0:50.0	0:40.9	0:14.6	1:24.5
20191201	2	1	3	스피드버드	한	수	2세	55		이현종	김학수	양현모		493(-6)	2.9	1.4	계란형큰, 망사눈	040985	080548	070107	114021	0:13.4			0:13.4	0:29.9	0:36.9	0:13.3	1:00.9
20191201	2	2	10	이스트원	한	수	2세	55		빅투아르	박병일	♠한명로	1¼	477(-4)	3.7	1.5	망사눈	041451	080582	070163	111053	0:13.4			0:13.4	0:29.9	0:37.1	0:13.4	1:01.1
20191201	2	3	11	나의전설	한	수	2세	55		송재철	송문길	박복용	3	464(15)	30.2	6.2	망사, 반가지큰	040867	080513	070179	109012	0:13.6			0:13.6	0:30.8	0:37.0	0:12.9	1:01.7
20191201	2	4	6	조이브라더	한	거	2세	55		유승완	강환민	이성인	코	459(-10)	4.5	1.5	계란형큰+, 망사눈	040602	080417	070175	900113	0:14.5			0:14.5	0:31.6	0:36.2	0:12.4	1:01.7
20191201	2	5	4	마이멤버	한	암	2세	53		박태종	정호익	백국인	½	474(22)	17.9	3.9	눈가면+	041159	080103	070148	105225	0:13.7			0:13.7	0:30.2	0:37.5	0:13.6	1:01.8
20191201	2	6	9	야호골든캣	한	수	2세	54		(-1)김덕현	박재우	이태식	2½	498(4)	15.9	3.3	망사	041346	080577	070164	010295	0:13.9			0:13.9	0:31.5	0:36.9	0:12.7	1:02.3
20191201	2	7	8	왕인행차	한	수	2세	55		이동하	서홍수	전영규	목	482(-1)	4.8	1.6	계란형큰+,망사눈+	041105	080562	070160	105209	0:13.6			0:13.6	0:30.4	0:38.0	0:13.6	1:02.3
20191201	2	8	2	영주스톤	한	수	2세	55		안효리	서정하	유영준	7	475(-7)	128.3	10.1	망사+,망사눈-	041008	080500	070113	114017	0:14.3			0:14.3	0:32.5	0:37.7	0:12.8	1:03.6
20191201	2	9	7	서울데이	한	수	2세	55		김옥성	박희철	조병해	1½	494(-3)	244.2	35.0		040503	080100	070114	010457	0:14.7			0:14.7	0:31.6	0:38.3	0:13.9	1:03.8
