날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20181223	1	1	1	금아제니스	한	수	2세	55		이동하	우창구	♠금아산업(주)		503(1)	1.9	1.2	망사눈	039588	080562	070149	117038	0:14.0			0:31.2	0:50.2	0:38.9	0:13.4	1:22.6
20181223	1	2	11	급행마	한	수	2세	55.5		김동수	이관호	♠박남성	1¼	457(4)	3.8	1.5	망사눈+, 망사-	039587	080529	070181	010496	0:13.8			0:30.9	0:49.9	0:39.3	0:13.8	1:22.8
20181223	1	3	4	비카브레이싱	한	수	3세	55		(-1)이동진	박대흥	(주)자성실업	1	507(9)	6.1	1.6	승인재갈, 눈가면	037906	080579	070092	106168	0:14.3			0:31.4	0:50.4	0:39.0	0:13.5	1:23.0
20181223	1	4	2	머니샤프	한	수	3세	54		(-2)김효정	배대선	한광세	5	479(3)	11.1	1.9	망사눈	037194	080578	070091	010245	0:14.0			0:31.2	0:50.2	0:40.1	0:14.2	1:23.8
20181223	1	5	3	대지공주	한	암	3세	54		김태훈	조현수	배선규	1	446(-2)	98.0	9.8	망사눈, 승인재갈	036934	080512	070199	202065	0:14.0			0:31.3	0:50.3	0:40.2	0:14.1	1:24.0
20181223	1	6	10	럭키팩토리	한	수	3세	56		이기회	박흥진	김도윤	2½	472(4)	21.3	4.3		037232	080394	070037	010412	0:14.3			0:32.2	0:51.0	0:39.9	0:14.0	1:24.4
20181223	1	7	6	천세만세	한	수	2세	54.5		부민호	박희철	신영식	4	504(3)	41.4	5.3	망사눈, 승인재갈	038880	080418	070114	010011	0:14.7			0:32.5	0:51.5	0:40.1	0:14.2	1:25.1
20181223	1	8	8	블랙스피릿	한	암	3세	54		다비드	사이먼	이혜란	2½	412(-8)	25.5	5.7	승인재갈, 눈가면	037020	080584	070245	900116	0:14.3			0:31.6	0:50.8	0:41.3	0:14.8	1:25.6
20181223	1	9	7	하나미치	한	수	2세	55		문세영	구자흥	♠강균호	½	488(2)	16.2	3.8	망사눈+, 승인재갈	039312	080366	070157	106030	0:13.7			0:30.9	0:49.9	0:42.3	0:15.8	1:25.7
20181223	1	10	9	캐럿시커	한	수	3세	55.5		지하주	김동균	♠공이공팔	½	457(1)	104.9	13.7	망사눈	037012	080301	070170	116054	0:14.1			0:31.6	0:50.8	0:41.4	0:14.8	1:25.7
20181223	1	11	12	빛나는꿈	한	거	4세	55.5		다나카	심승태	김용래	2½	482(-5)	302.6	40.6	망사눈, 승인재갈	035352	080516	070166	065012	0:14.4			0:32.1	0:51.0	0:41.6	0:14.8	1:26.2
20181223	1	12	5	슈퍼캅	한	거	2세	54		최범현	곽영효	양수화	2	452(8)	173.7	26.0	망사눈	038819	080361	070094	010529	0:14.4			0:32.5	0:52.0	0:41.2	0:14.4	1:26.6
20181223	2	1	2	레이징엔젤	한	암	3세	55		임기원	박종곤	한종희		483(-5)	4.7	1.6	망사눈, 승인재갈	037865	080487	070095	117037	0:13.6			0:13.6	0:30.4	0:38.1	0:13.6	1:02.5
20181223	2	2	5	모두드림	한	암	2세	54		이철경	서인석	♠이성님	1¾	458(-1)	1.9	1.1	승인재갈	039733	080563	070165	900152	0:14.0			0:14.0	0:31.0	0:38.0	0:13.5	1:02.8
20181223	2	3	7	명마질주	한	암	2세	54		김용근	신삼영	조창석	1¼	435(-10)	30.6	5.9		038899	080405	070161	065083	0:14.1			0:14.1	0:31.4	0:37.8	0:13.5	1:03.0
20181223	2	4	8	대지여걸	한	암	2세	54		이해동	최영주	배선규	머리	449(1)	13.1	2.0	망사눈	039395	080458	070098	202065	0:13.6			0:13.6	0:30.7	0:38.6	0:14.0	1:03.1
20181223	2	5	9	캠프바다	한	암	2세	54		이아나	김윤섭	김광영	1	440(-1)	75.9	8.3		039253	080485	070103	010538	0:13.7			0:13.7	0:31.2	0:38.4	0:13.6	1:03.2
20181223	2	6	1	나르두시	한	암	2세	54		안토니오	강환민	♠김창식	1	440(-14)	3.8	1.5	망사눈	038461	080576	070175	010352	0:13.6			0:13.6	0:30.5	0:39.0	0:14.1	1:03.4
20181223	2	7	10	거탑	한	암	2세	54		정평수	지용철	최성룡	1¼	480(-9)	43.9	5.8	망사눈	038624	080106	070051	105180	0:14.9			0:14.9	0:32.2	0:37.6	0:13.1	1:03.6
20181223	2	8	6	천은짱	한	암	2세	54		유승완	최봉주	조금제	1¾	441(-9)	46.2	6.4	망사눈+, 승인재갈, 망사-	038459	080417	070152	109017	0:14.4			0:14.4	0:31.8	0:38.4	0:13.2	1:03.9
20181223	2	9	3	최강다이아	한	암	3세	55		장추열	최용구	한종희	2½	489(-1)	46.5	6.2	망사+, 승인재갈	037847	080476	070168	117037	0:13.9			0:13.9	0:31.4	0:39.2	0:13.8	1:04.3
20181223	2	10	4	파크데이	한	암	2세	54		이혁	박윤규	류재욱	3	436(-17)	186.8	18.4	망사눈, 승인재갈	039438	080486	070117	110001	0:14.6			0:14.6	0:32.3	0:38.8	0:13.6	1:04.8
20181223	2	11	12	선샤인특급	한	암	2세	54		최범현	이신영	박의주	1½	494(11)	18.0	4.6	승인재갈	039398	080361	070167	900150	0:14.1			0:14.1	0:31.7	0:39.8	0:14.3	1:05.1
20181223	2		11	더럭	한	암	3세	53		(-2)김효정	배대선	강종우	출전제외	0(0)	----	----	망사	037675	080578	070091	065110								
20181223	3	1	9	달과구름	한	거	2세	55		김정준	박병일	♠이관형		490(1)	2.1	1.1	망사눈	040105	080473	070163	105163	0:13.8			0:30.9	0:49.7	0:38.4	0:13.6	1:21.9
20181223	3	2	12	방탄마	한	암	2세	53		문세영	지용철	김영진	7	453(-5)	2.8	1.3		038982	080366	070051	104027	0:13.8			0:31.4	0:50.4	0:39.2	0:13.5	1:23.2
20181223	3	3	7	천년의바람	한	거	2세	55		다나카	임봉춘	류주영	목	472(-10)	5.0	1.4	승인재갈, 눈가면+, 망사-	039113	080516	070111	900086	0:13.7			0:30.8	0:49.7	0:39.8	0:14.2	1:23.2
20181223	3	4	5	에브리싱윈	한	암	3세	53		(-1)조한별	김점오	이선호	3	471(-6)	18.5	2.7	망사눈	037743	080515	070058	010559	0:14.5			0:32.3	0:51.1	0:39.0	0:13.4	1:23.8
