날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20081228	1	1	4	스트롱허그	미	수	2세	53		문세영	정지은	강동구		578(4)	1.0	1.0		023664	080366	070028	105248	0:13.8			0:38.0	0:57.5	0:38.5	0:13.1	1:29.6
20081228	1	2	13	뉴피츠로이	호	수	3세	54		조경호	김일성	김재성a	8	500(-5)	18.4	2.3		022078	080355	070020	105233	0:13.8			0:38.1	0:57.7	0:39.7	0:14.1	1:31.0
20081228	1	3	14	★프리사이스윈	미	수	3세	55		허재영	서범석	강부자	¾	503(1)	81.0	7.4		023483	080358	070096	105196	0:14.6			0:38.2	0:58.0	0:39.6	0:13.8	1:31.1
20081228	1	4	5	드림하트	미	수	2세	53		오경환	박종곤	이방훈	3	460(0)	11.8	1.5		022011	080352	070095	105260	0:14.1			0:38.5	0:58.4	0:39.8	0:13.6	1:31.6
20081228	1	5	3	골드자이언트	호	거	4세	56		신형철	김윤섭	김채겸	1¾	447(8)	26.3	2.9		020173	080122	070103	010431	0:14.1			0:38.9	0:58.7	0:39.7	0:13.9	1:31.9
20081228	1	6	7	샘발릭	호	암	4세	54		김동균	김점오	김창희	목	455(0)	493.0	29.6		021677	080336	070058	010551	0:14.3			0:38.8	0:58.6	0:40.0	0:13.8	1:32.0
20081228	1	7	10	컨시스턴트석세스	미	수	2세	49		(-4)이준동	신우철	선우패션	1	522(-6)	23.8	2.2		023503	080416	070033	030012	0:14.6			0:38.4	0:58.0	0:40.7	0:14.0	1:32.2
20081228	1	8	12	윈로열	호	거	3세	50		(-4)이상혁	배휴준	이미경	2½	456(-3)	111.0	6.8		020051	080437	070144	105161	0:14.2			0:38.3	0:58.2	0:40.9	0:14.6	1:32.6
20081228	1	9	11	과천성운	호	수	4세	56		이애리	최상식	이환	1¾	437(-1)	509.6	24.4		020135	080378	070085	105241	0:14.4			0:38.6	0:58.9	0:40.7	0:13.8	1:32.9
20081228	1	10	1	시드니아침	호	수	4세	56		노조무	서홍수	장현종	1	496(-8)	42.9	3.9		020056	080427	070160	104019	0:14.3			0:39.3	0:59.2	0:40.5	0:14.2	1:33.1
20081228	1	11	8	파이널비트	미	수	4세	57		이쿠야스	최혜식	변완석	¾	448(10)	160.0	13.2		020105	080426	070040	105262	0:14.0			0:38.4	0:58.7	0:41.2	0:14.3	1:33.2
20081228	1	12	2	애드머럴리	미	수	3세	55		심승태	강명준	김우택	½	488(0)	344.8	23.7		021855	080359	070104	105205	0:14.4			0:39.8	1:00.0	0:40.0	0:13.6	1:33.3
20081228	1	13	6	스피드플러스	미	암	3세	54		함완식	임봉춘	박용훈	머리	441(-7)	323.0	16.2		020245	080342	070111	010499	0:14.0			0:38.2	0:58.0	0:41.8	0:14.8	1:33.3
20081228	1	14	9	엑스타이거	미	거	3세	55		최범현	김명국	이태식	2½	464(-3)	454.3	34.9		020247	080361	070088	010295	0:14.3			0:39.5	1:00.0	0:40.5	0:14.1	1:33.8
20081228	2	1	7	혜성처럼	한	거	3세	55		한성열	신우철	김진철		487(-8)	8.2	1.6		019163	080349	070033	010573	0:14.5			0:33.1	0:52.5	0:38.7	0:13.3	1:24.7
20081228	2	2	10	★수퍼헤로인	한	암	4세	55		박태종	곽영효	양수화	½	418(2)	1.9	1.1		017401	080103	070094	010529	0:13.7			0:31.4	0:50.6	0:40.7	0:14.1	1:24.8
20081228	2	3	11	★수상	한	거	3세	55		문세영	하재흥	김병현	2	506(4)	3.6	1.9		019160	080366	070034	010225	0:13.7			0:31.4	0:50.6	0:41.1	0:14.5	1:25.2
20081228	2	4	4	골저스니스	한	암	3세	54		심승태	김순근	안태건	2	398(-5)	6.2	1.7		019287	080359	070105	105257	0:13.9			0:32.2	0:51.9	0:40.0	0:14.0	1:25.5
20081228	2	5	1	한혈유성	한	암	3세	54		원정일	이희영	서정훈	머리	405(-7)	36.5	5.1		019328	080344	070053	104009	0:14.3			0:32.7	0:52.1	0:39.9	0:14.3	1:25.5
20081228	2	6	6	문수사	한	암	3세	50		(-4)김동민	김양선	김만수	1¼	424(-1)	483.1	63.2		019885	080433	070035	105217	0:13.5			0:31.2	0:50.4	0:42.0	0:14.8	1:25.8
20081228	2	7	12	★럭키맨	한	거	4세	57		이동국	안해양	최명숙	¾	516(4)	22.0	3.0		017400	080363	070108	105164	0:14.3			0:32.5	0:52.4	0:40.1	0:14.2	1:25.9
