날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20151220	1	1	6	성불오름	한	암	2세	50		(-3)조재로	배휴준	♠최동천		434(5)	5.4	1.9		034199	080550	070144	104005	0:13.7			0:13.7	0:30.8	0:37.3	0:13.3	1:02.1
20151220	1	2	7	어쭈구리	한	암	2세	53		유승완	김양선	강석대	2½	508(-6)	6.4	1.7		033851	080417	070035	105211	0:13.8			0:13.8	0:31.3	0:37.7	0:13.2	1:02.6
20151220	1	3	2	산이슬	한	암	2세	53		황순도	최영주	최명균	½	475(-6)	2.8	1.3		034389	080343	070098	010366	0:13.9			0:13.9	0:30.7	0:38.0	0:13.8	1:02.7
20151220	1	4	11	주얼리파크	한	암	2세	53		서승운	양희진	♠김태성	4	494(12)	7.5	2.0		034173	080484	070171	113008	0:13.9			0:13.9	0:31.5	0:38.0	0:13.2	1:03.3
20151220	1	5	3	야호자이언트	한	수	2세	55		이해동	김동균	이태식	7	455(-7)	4.5	1.9		034377	080458	070170	010295	0:14.0			0:14.0	0:31.6	0:39.1	0:13.9	1:04.5
20151220	1	6	4	세븐즈럭키	한	수	2세	55		최원준	최영주	김근영	1¾	440(-9)	74.0	11.5		033427	080419	070098	106272	0:14.8			0:14.8	0:32.9	0:38.6	0:13.3	1:04.9
20151220	1	7	10	차이밍피코	한	암	2세	53		이아나	서홍수	이효선	2½	458(-8)	175.7	26.9		033516	080485	070160	104017	0:14.3			0:14.3	0:32.1	0:39.6	0:13.9	1:05.3
20151220	1	8	12	콜미제이케이	한	거	2세	55		김혜선	김효섭	임정균	¾	482(15)	178.8	25.5		034117	080456	070159	111227	0:14.3			0:14.3	0:32.0	0:39.9	0:14.1	1:05.5
20151220	1	9	9	대명스타	한	수	2세	55		송재철	홍대유	(주)대명종합건설	¾	498(11)	9.9	3.1		033498	080513	070145	109035	0:15.4			0:15.4	0:33.6	0:38.3	0:13.3	1:05.6
20151220	1	10	1	댄싱위너	한	암	2세	53		임기원	황영원	김순건	½	462(0)	17.6	4.3		033478	080487	070102	065045	0:13.8			0:13.8	0:31.3	0:40.8	0:14.9	1:05.7
20151220	1	11	5	밀키웨이	한	암	2세	50		(-4)하정훈	박흥진	고창범	5	457(-2)	128.9	14.7		033339	080552	070037	065093	0:14.9			0:14.9	0:33.6	0:39.6	0:13.9	1:06.5
20151220	1	12	8	숨은영웅	한	수	2세	55		박시천	지용철	조창석	1½	464(6)	99.4	23.3		034260	080436	070051	065083	0:16.0			0:16.0	0:34.3	0:38.9	0:13.5	1:06.8
20151220	2	1	9	조국의등불	한	수	2세	55		김혜선	양재철	♠코리아호스랜드		493(-5)	7.4	1.9		034347	080456	070048	065134	0:13.8			0:24.6	0:43.0	0:38.6	0:13.3	1:15.2
20151220	2	2	2	기모아런치	한	수	2세	55		이상혁	김윤섭	박상선	7	442(-1)	2.8	1.3		033222	080437	070103	010154	0:13.9			0:24.8	0:43.4	0:39.5	0:13.8	1:16.4
20151220	2	3	7	초원의찬가	한	수	2세	55		이준철	김대근	최상섭	3	471(2)	3.2	1.3		034025	080353	070050	010417	0:13.8			0:25.0	0:43.7	0:39.8	0:13.7	1:17.0
20151220	2	4	8	치우여제	한	암	2세	53		함완식	서인석	씨유네트워크	3	461(2)	5.6	1.8		034065	080342	070165	114028	0:14.0			0:25.3	0:44.2	0:39.7	0:13.8	1:17.4
20151220	2	5	12	슈거캣	한	수	2세	55		최원준	양희진	김방철	½	472(6)	52.8	11.9		034160	080419	070171	010462	0:13.9			0:24.8	0:43.8	0:40.3	0:14.1	1:17.5
20151220	2	6	6	검빛강자	한	수	2세	55		다카하시	송문길	박복용	2	516(9)	26.5	5.9		033903	080553	070179	109012	0:15.0			0:26.2	0:44.6	0:39.7	0:14.0	1:17.9
20151220	2	7	4	하이베트	한	수	2세	55		페로비치	정호익	김세민	½	475(-5)	15.6	4.4		033471	080542	070148	065160	0:13.9			0:24.8	0:43.4	0:41.0	0:14.7	1:18.0
20151220	2	8	11	프라임골드	한	수	2세	55		니콜라	박희철	김진철	목	473(0)	12.8	3.2		033208	080555	070114	010573	0:13.9			0:24.7	0:43.1	0:41.3	0:14.9	1:18.0
20151220	2	9	3	화이트타임	한	수	2세	55		박태종	박흥진	고창범	1¾	442(-7)	50.0	8.0		033342	080103	070037	065093	0:15.5			0:26.9	0:45.1	0:39.6	0:13.9	1:18.3
20151220	2	10	5	체리피커	한	암	2세	53		유승완	심승태	이종욱	1	497(-1)	91.9	16.4		034075	080417	070166	065133	0:14.5			0:25.5	0:44.5	0:40.5	0:14.2	1:18.5
20151220	2	11	1	세븐라이트	한	수	2세	55		송재철	최상식	변갑한	2	469(1)	95.6	14.9		033696	080513	070085	109014	0:14.3			0:25.8	0:44.9	0:40.6	0:14.4	1:18.8
20151220	2	12	10	메니베트	한	암	2세	53		서승운	김동균	♠김태성	8	472(-14)	43.9	9.2		033514	080484	070170	113008	0:13.9			0:24.8	0:43.9	0:43.0	0:15.6	1:20.2
20151220	3	1	7	델라고드림	한	수	2세	55		방춘식	곽영효	윤훈열		461(10)	4.0	1.5		033951	080294	070094	111050	0:14.2			0:25.7	0:44.4	0:38.3	0:13.0	1:16.3
20151220	3	2	3	엠제이핫	한	암	2세	53		함완식	김동균	류재욱	4	491(-3)	29.9	6.1		034181	080342	070170	110001	0:13.9			0:25.3	0:44.2	0:39.3	0:13.5	1:17.0
20151220	3	3	1	스페셜샤인	한	암	2세	53		한성열	심승태	장철환	3	463(4)	24.6	3.0		034149	080349	070166	010644	0:14.5			0:26.5	0:45.2	0:38.8	0:13.5	1:17.6
20151220	3	4	2	동녁빛	한	암	2세	53		박태종	박흥진	유준환	코	450(-10)	4.7	1.7		033822	080103	070037	010504	0:13.9			0:25.5	0:44.4	0:39.6	0:13.9	1:17.6
20151220	3	5	12	네이티브톰	한	수	2세	55		임기원	이신영	♠(주)녹원목장	1	529(6)	5.1	2.1		033148	080487	070167	106204	0:14.1			0:25.7	0:44.9	0:39.3	0:13.6	1:17.7
20151220	3	6	5	한일앙상블	한	수	2세	55		이준철	김대근	한일사료	½	469(-6)	2.3	1.1		033928	080353	070050	030034	0:13.9			0:25.4	0:44.3	0:40.0	0:14.1	1:17.8
20151220	3	7	4	엘리트퀸	한	암	2세	53		이상혁	박희철	노환영	¾	456(2)	122.5	20.3		033205	080437	070114	010254	0:14.8			0:26.7	0:45.3	0:39.2	0:13.4	1:18.0
20151220	3	8	11	선빅터	한	수	2세	55		니콜라	서범석	이신근	½	500(-8)	24.0	3.3		034069	080555	070096	109022	0:14.5			0:26.1	0:45.1	0:39.4	0:13.5	1:18.0
20151220	3	9	10	필라우스	한	거	2세	55		장추열	배대선	이승근	코	547(5)	53.1	7.5		033900	080476	070091	010826	0:14.3			0:25.9	0:44.8	0:39.6	0:13.9	1:18.1
20151220	3	10	13	더샤우트	한	암	2세	53		김귀배	이희영	권태우	4	464(3)	118.9	12.6		034395	080014	070053	010469	0:14.4			0:26.0	0:45.0	0:40.1	0:14.1	1:18.7
20151220	3	11	8	요동강자	한	수	2세	55		김혜선	김점오	박양호	8	478(-5)	253.2	30.7		034034	080456	070058	010487	0:14.4			0:26.1	0:45.0	0:41.5	0:14.7	1:20.0
20151220	3	12	9	금덩어리	한	암	2세	53		박현우	박천서	한영석	9	442(-12)	398.7	44.7		033511	080499	070115	105234	0:14.6			0:27.0	0:46.6	0:41.7	0:14.8	1:21.6
20151220	3	13	6	스타호크	한	수	2세	55		문정균	최봉주	♠코리아호스랜드	½	444(6)	175.7	29.5		034338	080337	070152	065134	0:14.6			0:26.8	0:45.8	0:42.4	0:15.3	1:21.7
20151220	4	1	2	천년강자	한	거	3세	55		이찬호	김순근	권인택		485(-9)	5.7	2.0		031572	080514	070105	065011	0:13.8			0:31.4	0:50.1	0:39.4	0:13.8	1:23.1
20151220	4	2	5	지상비행	한	수	2세	54		서승운	김호	진교원	4	495(-1)	2.4	1.4		034053	080484	070153	010418	0:13.8			0:31.4	0:50.2	0:40.0	0:14.2	1:23.8
20151220	4	3	6	합작품	한	수	2세	54		유승완	박대흥	♠(주)디알엠씨티	¾	485(0)	4.4	1.6		033841	080417	070092	114026	0:14.3			0:32.6	0:52.3	0:38.2	0:13.0	1:23.9
20151220	4	4	7	왕바우	한	거	3세	55		다카하시	박천서	김봉섭	1	473(4)	8.1	2.0		032473	080553	070115	010632	0:14.0			0:31.7	0:50.7	0:39.9	0:14.1	1:24.1
20151220	4	5	3	천일	한	수	3세	51		(-4)하정훈	김학수	조금제	¾	481(2)	24.2	4.6		031354	080552	070107	109017	0:14.2			0:32.2	0:51.7	0:38.9	0:13.4	1:24.2
20151220	4	6	1	엔젤파크	한	수	3세	55		페로비치	손영표	로열패밀리	¾	514(6)	12.5	2.5		032337	080542	070150	111058	0:14.0			0:31.7	0:50.6	0:40.3	0:14.3	1:24.4
20151220	4	7	10	베스트테이커	한	거	3세	55		지하주	강명준	베스트샤인조합	½	491(0)	13.4	3.1		031978	080301	070104	111067	0:14.2			0:32.4	0:51.7	0:39.2	0:13.5	1:24.4
20151220	4	8	8	강자승	한	암	3세	53		이금주	강명준	베스트샤인조합	¾	412(-7)	130.9	21.9		032597	080356	070104	111067	0:14.2			0:32.1	0:51.5	0:39.7	0:13.7	1:24.6
20151220	4	9	13	카원	한	수	3세	55		이상혁	황영원	장원철	1½	560(21)	14.0	4.1		031726	080437	070102	113021	0:14.4			0:32.8	0:52.2	0:39.1	0:13.5	1:24.9
20151220	4	10	12	신사의질주	한	수	3세	55		송재철	우창구	이재상	1¼	422(-15)	142.3	21.4		031447	080513	070149	109312	0:14.2			0:32.6	0:52.0	0:39.7	0:13.8	1:25.1
20151220	4	11	11	요동맹장	한	거	3세	55		김옥성	김점오	박양호	1	431(-1)	196.9	25.9		031606	080100	070058	010487	0:14.2			0:31.4	0:50.6	0:41.2	0:14.2	1:25.2
20151220	4	12	14	★포제이	한	암	3세	53		이아나	박윤규	이방훈	3	463(0)	155.7	44.7		031808	080485	070117	105260	0:14.4			0:32.4	0:51.9	0:40.5	0:13.7	1:25.8
20151220	4	13	9	무패무적	한	암	3세	53		김귀배	안해양	지경미	1	452(-4)	237.5	29.3		031356	080014	070108	111026	0:14.2			0:32.1	0:51.4	0:41.1	0:14.8	1:26.0
20151220	4	14	4	무적의질주	한	수	2세	54		김혜선	양재철	♠코리아호스랜드	2	423(-7)	135.4	37.0		034334	080456	070048	065134	0:14.5			0:32.4	0:51.7	0:41.2	0:14.9	1:26.4
20151220	5	1	9	지상파워	한	거	3세	57	39	이찬호	김순근	박재천		457(5)	7.5	1.8		031566	080514	070105	105157	0:13.9			0:13.9	0:30.8	0:36.6	0:12.8	1:01.3
20151220	5	2	2	서울퀸	한	암	2세	51	26	송재철	이관호	김진엽	2	458(4)	7.8	1.7		033485	080513	070181	010207	0:13.9			0:13.9	0:31.0	0:36.8	0:12.8	1:01.7
20151220	5	3	7	잠룡	한	거	3세	53.5	32	박병윤	하재흥	(주)자성실업	¾	462(10)	42.0	7.3		031426	080435	070034	106168	0:14.6			0:14.6	0:32.4	0:35.8	0:11.9	1:01.8
20151220	5	4	6	급시우	한	거	2세	51	26	지하주	강명준	베스트샤인조합	코	469(0)	24.7	4.5		033532	080301	070104	111067	0:13.8			0:13.8	0:31.0	0:37.0	0:12.9	1:01.9
20151220	5	5	1	티즈킹	한	수	2세	52	29	다카하시	서인석	전기섭	½	494(-2)	1.6	1.1		033279	080553	070165	010625	0:13.3			0:13.3	0:30.1	0:37.9	0:13.4	1:01.9
20151220	5	6	11	일렉트릭크롬	한	거	3세	51	28	(-3)조재로	배휴준	이석웅	3	453(3)	98.2	13.5		031849	080550	070144	113023	0:14.4			0:14.4	0:31.9	0:36.7	0:12.7	1:02.4
20151220	5	7	12	나르샤퀸	한	암	3세	51	26	이혁	곽영효	설정자	머리	479(-1)	43.5	5.5		031688	080486	070094	114005	0:13.7			0:13.7	0:30.6	0:37.9	0:13.4	1:02.4
20151220	5	8	3	태풍	한	거	3세	53	31	서승운	허재영	최현기	1	449(-6)	87.6	16.5		031357	080484	070172	110019	0:14.9			0:14.9	0:31.9	0:36.7	0:12.9	1:02.6
20151220	5	9	4	용왕시대	한	수	3세	52.5	30	박현우	양희진	♠박정재	¾	509(-1)	77.0	9.2		032385	080499	070171	010801	0:13.7			0:13.7	0:30.5	0:38.2	0:13.9	1:02.7
20151220	5	10	5	프린켑스	한	수	3세	52	26	이상혁	황영원	장원철	코	449(-3)	44.0	9.3		031464	080437	070102	113021	0:14.2			0:14.2	0:32.3	0:36.7	0:12.6	1:02.7
20151220	5	11	10	무상대복	한	거	4세	53.5	32	안효리	배대선	이수홍	코	449(0)	44.4	7.8		029592	080500	070091	020005	0:13.9			0:13.9	0:31.0	0:37.8	0:13.6	1:02.8
20151220	5	12	8	닥터와이	한	암	2세	56.5	38	유승완	박종곤	♠유희태	½	457(4)	5.6	1.5		033725	080417	070095	113015	0:13.3			0:13.3	0:30.2	0:38.7	0:14.0	1:02.8
