날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20001224	1	1	05	디스코	호	암	3세	54		임대규	김일성	조승민		473(-12)	1.3	1.1		012559	080093	070020	010512				0:25.5	0:44.6	0:38.9		1:16.6
20001224	1	2	12	오버투피트	호	거	4세	57		오명섭	윤치운	남귀현	¾	508(16)	8.3	1.6		012632	080332	070084	010076				0:25.9	0:44.9	0:38.6		1:16.8
20001224	1	3	09	밀크메이드	호	암	2세	53		강경식	박원덕	박정웅	3	411(1)	36.9	2.9		012596	080330	070056	010118				0:25.6	0:44.8	0:39.4		1:17.4
20001224	1	4	07	노이지스프라이트	호	거	4세	57		배휴준	박종곤	링크폴로	2	441(1)	4.6	1.3		012540	080022	070095	030002				0:27.3	0:45.7	0:38.5		1:17.8
20001224	1	5	13	라고	호	수	3세	55		장세한	박진호	함병만	2½	469(5)	32.1	2.9		010930	080113	070017	010313				0:26.4	0:45.2	0:39.8		1:18.3
20001224	1	6	01	천마왕	호	수	4세	57		문제복	장두천	천병득	2	406(-1)	191.0	12.3		010973	080107	070045	010190				0:27.7	0:46.7	0:38.7		1:18.7
20001224	1	7	10	데이빗슨	뉴	거	4세	57		임금만	한일영	한병규	1½	482(0)	249.9	10.7		010813	080038	070030	010236				0:26.8	0:45.4	0:40.2		1:19.0
20001224	1	8	14	★플레이쿨	호	암	3세	54		천창기	서범석	문금주	½	460(8)	104.8	9.0		012558	080092	070096	010283				0:26.9	0:46.4	0:39.5		1:19.1
20001224	1	9	08	동해장사	호	암	3세	54		최봉주	정찬근	박엽래	1	462(0)	31.0	3.9		012545	080080	070044	010077				0:26.8	0:45.7	0:40.2		1:19.3
20001224	1	10	06	두물머리	호	거	3세	55		김혜성	지용훈	박시용	2	456(-3)	170.5	18.8		012553	080109	070057	010422				0:26.9	0:46.6	0:40.0		1:19.7
20001224	1	11	11	퍼펙트다이아몬드	호	거	3세	55		강병은	강승영	이승택	¾	440(0)	93.9	7.0		012593	080050	070052	010351				0:28.8	0:47.7	0:38.7		1:19.9
20001224	1	12	04	아리온	뉴	암	6세	54		문정균	박흥진	유준환	10	409(-5)	375.7	32.0		009948	080337	070037	010504				0:27.1	0:46.9	0:42.0		1:21.9
