날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20141228	1	1	8	스트롱샤인	한	거	3세	56		박을운	심승태	♠고광숙		438(-2)	6.5	1.8		030761	080339	070166	010813	0:14.2			0:32.7	0:53.0	0:39.1	0:12.8	1:25.2
20141228	1	2	4	장산불패	한	거	3세	55		이쿠야스	서인석	♠김병진	코	527(-1)	4.2	2.0		030329	080426	070165	111044	0:13.8			0:32.2	0:52.6	0:39.5	0:13.1	1:25.2
20141228	1	3	5	온에어	한	수	2세	53		장추열	배대선	이용성	1	477(8)	3.5	1.4		031492	080476	070091	113029	0:13.9			0:32.4	0:52.8	0:39.6	0:13.3	1:25.4
20141228	1	4	3	빌리브유	한	암	2세	53		박태종	곽영효	백승두	1	468(1)	157.2	25.1		032617	080103	070094	110026	0:14.8			0:33.0	0:52.9	0:39.5	0:13.5	1:25.6
20141228	1	5	6	타라니스	한	거	2세	53		박병윤	하재흥	이보원	1¾	468(0)	155.7	12.4		031769	080435	070034	010127	0:14.2			0:32.4	0:52.8	0:40.1	0:13.6	1:25.9
20141228	1	6	10	돈진	한	거	4세	56		(-1)안효리	배대선	고영욱	½	564(4)	169.3	13.4		028489	080500	070091	111046	0:15.4			0:34.2	0:53.8	0:38.9	0:12.9	1:25.9
20141228	1	7	9	컬링	한	암	2세	53		이상혁	배휴준	허영희	코	514(3)	4.4	1.9		032632	080437	070144	104011	0:15.9			0:34.2	0:53.7	0:39.1	0:12.9	1:25.9
20141228	1	8	12	★해피볼	한	암	3세	54		이동국	양희진	강홍수	2½	461(1)	6.2	2.2		030109	080363	070171	010424	0:14.0			0:32.4	0:52.9	0:40.5	0:13.9	1:26.4
20141228	1	9	2	베스트테이커	한	거	2세	53		이혁	박재우	베스트샤인조합	4	466(-6)	28.8	4.2		031978	080486	070164	111067	0:14.4			0:33.5	0:53.5	0:40.5	0:13.7	1:27.1
20141228	1	10	1	플라잉스톰	한	수	2세	53		서승운	김호	♠김형순	머리	493(25)	9.8	3.5		032110	080484	070153	110028	0:13.7			0:32.1	0:52.5	0:41.5	0:14.5	1:27.1
20141228	1	11	11	굿치얼스	한	수	3세	55		신형철	임봉춘	이종휘	목	465(2)	36.7	4.6		029735	080122	070111	010367	0:15.0			0:34.1	0:53.8	0:40.1	0:13.4	1:27.1
20141228	1	12	7	선더주니어	한	거	2세	53		최원준	박천서	유길상	코	475(6)	230.5	30.8		031756	080419	070115	010587	0:14.8			0:33.6	0:53.5	0:40.5	0:13.5	1:27.1
20141228	2	1	5	퀸크릭캣	한	암	2세	53		함완식	김효섭	이미경		511(4)	1.3	1.0		032210	080342	070159	105161	0:13.8			0:25.2	0:44.5	0:38.8	0:13.4	1:16.8
20141228	2	2	1	퀸라이트	한	암	3세	51		(-3)송재철	최상식	변갑한	2½	476(-6)	4.5	1.4		030010	080513	070085	109014	0:14.0			0:25.5	0:44.8	0:39.0	0:13.7	1:17.3
20141228	2	3	10	굴팍시	한	암	3세	54		이혁	강명준	베스트샤인조합	5	457(-10)	48.1	4.2		029588	080486	070104	111067	0:13.9			0:25.4	0:44.9	0:39.8	0:13.8	1:18.2
20141228	2	4	8	핑크스타	한	암	2세	53		장추열	배대선	이용성	3	419(7)	18.0	2.1		032136	080476	070091	113029	0:13.9			0:25.3	0:44.6	0:40.6	0:14.4	1:18.8
20141228	2	5	11	응상백	한	암	2세	53		이준철	김대근	한일사료	5	452(-2)	119.1	10.9		031494	080353	070050	030034	0:14.3			0:26.1	0:45.7	0:40.5	0:13.8	1:19.6
20141228	2	6	2	하트밴드	한	암	2세	53		이쿠야스	서인석	박철근	½	446(-11)	17.2	4.4		031908	080426	070165	111042	0:14.2			0:26.0	0:45.2	0:41.1	0:14.4	1:19.7
20141228	2	7	6	운도희	한	암	3세	54		서도수	신우철	황철연	1½	479(-24)	110.8	9.7		030453	080371	070033	105252	0:14.8			0:26.5	0:46.0	0:40.7	0:13.9	1:20.0
20141228	2	8	9	무한도전	한	암	2세	53		김옥성	서정하	♠금악목장	½	493(-4)	212.3	17.0		031596	080100	070113	065118	0:14.3			0:26.0	0:45.5	0:41.2	0:14.1	1:20.0
