날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20121223	1	1	1	애니위너	한	암	4세	51		이상혁	박희철	김진철		482(-4)	19.6	3.5		024091	080437	070114	010573	0:13.7			0:31.1	0:50.5	0:39.6	0:13.7	1:23.5
20121223	1	2	7	레이카	한	암	3세	52		장추열	배대선	이승근	4	481(-9)	18.4	4.5		026288	080476	070091	010826	0:13.8			0:31.6	0:50.8	0:40.0	0:14.0	1:24.2
20121223	1	3	11	실크포리스트	한	암	3세	53		최범현	정호익	박재율	목	440(-2)	6.5	2.3		026331	080361	070148	020008	0:14.0			0:31.7	0:51.3	0:39.5	0:13.5	1:24.2
20121223	1	4	14	임자도	한	암	3세	52		(-3)박현우	박천서	이상승	머리	448(9)	4.6	1.7		026729	080499	070115	105261	0:14.3			0:32.7	0:52.5	0:38.3	0:13.1	1:24.2
20121223	1	5	5	라스트러브	한	암	3세	55		문세영	지용철	정수남	3	487(1)	16.0	4.1		027007	080366	070051	104028	0:14.0			0:32.1	0:51.7	0:39.7	0:13.6	1:24.8
20121223	1	6	10	비카서미트	한	암	3세	55		조경호	김점오	문창완	½	483(6)	3.6	1.6		026424	080355	070058	105003	0:13.9			0:32.4	0:52.4	0:39.3	0:13.2	1:24.9
20121223	1	7	3	스피노	한	암	4세	51		아베	이희영	(주)대명종합건설	1½	481(0)	82.6	15.1		025082	080494	070053	109035	0:14.3			0:32.5	0:52.4	0:39.3	0:13.6	1:25.1
20121223	1	8	12	금아퀸	한	암	3세	55		함완식	이신영	♠김도욱	½	483(6)	9.0	3.4		026484	080342	070167	109025	0:13.1			0:30.6	0:50.4	0:41.6	0:15.1	1:25.2
20121223	1	9	2	일종무종	한	암	3세	50		(-4)안효리	안병기	권혁인	1¼	490(10)	23.4	5.2		026227	080500	070146	105216	0:14.0			0:31.7	0:51.2	0:40.8	0:14.4	1:25.4
20121223	1	10	4	로열스텝	한	암	3세	55		조인권	황영원	로열패밀리	1¾	469(-2)	10.8	3.3		026109	080438	070102	111058	0:13.5			0:31.4	0:51.3	0:41.0	0:14.3	1:25.7
20121223	1	11	9	아이리시빅터	한	암	3세	52		(-1)이해동	정호익	박상선	3	490(1)	41.5	16.5		026330	080458	070148	010154	0:13.6			0:31.6	0:52.2	0:41.0	0:14.2	1:26.2
