날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
19991219	1	1	03	에시	호	암	4세	55		김효섭	이용준	신영식		432(-11)	3.4	1.5		010878	080097	070100	010011				0:26.8	0:45.8	0:39.0		1:18.2
19991219	1	2	12	영원한태양	뉴	거	3세	55		최봉주	정찬근	신길우	¾	450(-1)	16.3	3.6		010765	080080	070044	010392				0:26.9	0:46.1	0:38.8		1:18.3
19991219	1	3	06	보고타	뉴	암	4세	55		이성일	박원선	남웅종	½	490(0)	5.9	1.8		010786	080016	070007	010319				0:26.2	0:45.4	0:39.8		1:18.4
19991219	1	4	04	힘찬고동	뉴	암	4세	55		신형철	강윤식	지성한	½	457(-4)	5.6	2.0		010808	080122	070022	010110				0:26.6	0:45.6	0:39.5		1:18.5
19991219	1	5	08	마리오네	호	거	4세	57		천창기	하재흥	김웅세	목	445(-9)	6.9	1.9		010876	080092	070034	010401				0:27.5	0:46.5	0:38.7		1:18.6
19991219	1	6	11	빛나는아침	뉴	암	3세	54		김창옥	곽영효	송창영	½	466(-4)	171.2	21.5		010028	080071	070094	010325				0:26.3	0:45.5	0:39.8		1:18.7
19991219	1	7	01	센터플레이스	뉴	거	4세	56		강태현	신우철	이영숙	4	481(-6)	97.4	16.7		010818	080335	070033	010087				0:27.2	0:46.4	0:39.8		1:19.4
19991219	1	8	05	미스티로드	뉴	암	4세	55		임대규	김일성	류근상	¾	457(-2)	4.0	1.6		010781	080093	070020	010440				0:26.5	0:45.9	0:40.4		1:19.6
19991219	1	9	14	스타일리쉬잎	뉴	암	4세	55		배휴준	안해양	김진호	목	439(-2)	11.0	3.7		010804	080022	070108	010204				0:26.7	0:46.1	0:40.3		1:19.7
19991219	1	10	13	전용도로	한	암	2세	51		김동철	이희영	김진태	2½	459(2)	28.7	9.2		009423	080303	070053	010433				0:27.1	0:46.2	0:40.7		1:20.2
19991219	1	11	10	마블돌	호	암	4세	55		양희진	박진호	박효봉	2½	391(-8)	432.9	36.4		010855	080333	070017	010171				0:27.2	0:46.6	0:41.0		1:20.7
19991219	1	12	02	아시안드림	뉴	암	4세	55		김옥성	김재복	조병해	¾	498(-1)	162.4	27.1		010805	080100	070015	010457				0:28.0	0:47.1	0:40.2		1:20.8
19991219	1	13	07	칠성별	호	암	3세	54		강병은	강승영	이승택	코	410(2)	250.0	51.0		010750	080050	070052	010351				0:27.6	0:47.1	0:40.4		1:20.8
19991219	1	14	09	트리카	호	거	7세	56		한유영	한일영	대한사료	8	487(5)	180.2	14.7		008261	080024	070030	030031				0:27.7	0:47.3	0:41.9		1:22.4
19991219	2	1	05	집대성	한	수	2세	53		안병기	최혜식	박정열		498(-3)	1.6	1.2		009709	080053	070040	010243				0:13.8	0:31.6	0:38.7		1:03.9
19991219	2	2	03	선봉대감	한	암	2세	53		김혜성	김양선	노승구	1	452(-5)	5.9	1.8		009519	080109	070035	010259				0:13.7	0:31.5	0:39.1		1:04.1
19991219	2	3	01	우먼파워	한	암	2세	52		문정균	박흥진	송용식	목	423(-12)	7.8	2.0		009489	080337	070037	010142				0:14.0	0:31.7	0:38.8		1:04.1
19991219	2	4	10	자유만끽	한	암	2세	50		유훈	김점오	박경우	1¾	474(13)	5.1	1.7		009356	080348	070058	010535				0:14.0	0:32.0	0:39.0		1:04.5
19991219	2	5	08	월드베스트	한	암	2세	53		김창옥	하재흥	성문전자	½	420(-4)	52.3	5.3		009515	080071	070034	030022				0:14.3	0:32.4	0:38.6		1:04.6
19991219	2	6	02	신대륙	한	수	2세	53		최봉주	정찬근	신길우	½	472(9)	48.7	6.2		009474	080080	070044	010392				0:14.6	0:32.6	0:38.6		1:04.7
19991219	2	7	06	전투기	한	암	2세	53		김효섭	김문갑	김서운	목	438(0)	23.4	3.7		009341	080097	070087	010425				0:14.5	0:32.6	0:38.7		1:04.8
19991219	2	8	04	올인원	한	암	2세	53		김옥성	권세창	한일사료	1¼	452(6)	28.4	3.4		009681	080100	070089	030034				0:14.4	0:32.2	0:39.3		1:05.0
19991219	2	9	12	정안장군	한	암	2세	50		이준철	김대근	유병옥	1¾	459(-6)	51.4	6.2		009617	080353	070050	010500				0:14.5	0:32.8	0:39.2		1:05.4
19991219	2	10	09	기쁜만남	한	수	2세	53		김태경	박종곤	김진엽	4	442(0)	196.1	13.8		009537	080296	070095	010207				0:14.4	0:33.1	0:39.8		1:06.2
19991219	2	11	11	골든이글	한	암	2세	53		김동철	최영주	신항철	½	432(0)	305.8	27.2		009428	080303	070098	010509				0:14.2	0:32.4	0:40.5		1:06.3
