날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
20071230	1	1	7	스펙트럼별	한	수	3세	55		김효섭	박진호	이종민		458(13)	2.1	1.1		017918	080097	070017	105224	0:13.7			0:38.0	0:59.9	0:41.4	0:13.4	1:33.6
20071230	1	2	5	수성신화	한	수	3세	55		오경환	박종곤	김정배	3	436(6)	45.7	7.5		017067	080352	070095	104008	0:13.7			0:38.0	0:59.9	0:41.9	0:13.6	1:34.1
20071230	1	3	11	에너제틱	한	거	3세	55		이쿠야스	강명준	홍상기	½	437(3)	130.1	18.5		017835	080426	070104	105194	0:14.3			0:39.1	1:00.2	0:41.2	0:13.8	1:34.2
20071230	1	4	12	파워브라더스	한	수	3세	55		김혜성	지용훈	정수남	머리	486(2)	26.8	4.4		017982	080109	070057	104028	0:13.5			0:38.2	1:00.1	0:41.8	0:13.2	1:34.2
20071230	1	5	9	샤이닝골드	한	거	3세	54		김옥성	최상식	♠장재형	1¼	556(-10)	33.6	7.6		018585	080100	070085	010611	0:13.4			0:37.8	0:59.7	0:42.3	0:13.6	1:34.4
20071230	1	6	4	위너	한	암	3세	54		심승태	김병용	박성환	¾	428(1)	18.7	3.9		017849	080359	070049	010119	0:13.3			0:37.8	0:59.6	0:42.6	0:13.7	1:34.6
20071230	1	7	14	★애머랜사인	한	암	3세	54		이신영	안해양	김영식	2½	433(-13)	3.0	1.3		017120	080365	070108	105170	0:13.5			0:38.2	1:00.0	0:42.6	0:13.9	1:35.0
20071230	1	8	3	플라이캡틴	한	수	3세	55		유재필	최봉주	♠오호극	¾	456(-4)	10.7	2.5		018018	080368	070152	010396	0:13.3			0:37.5	0:59.3	0:43.4	0:14.3	1:35.2
20071230	1	9	6	그레이트런	한	암	3세	54		이준철	박원덕	이일구	9	432(-3)	8.1	2.7		017669	080353	070056	010447	0:14.6			0:39.3	1:00.6	0:43.5	0:15.1	1:36.8
20071230	1	10	13	바람같이	한	수	3세	55		한창민	최혜식	박동규	코	444(2)	95.9	11.2		017709	080345	070040	010586	0:13.7			0:38.8	1:00.1	0:44.2	0:15.0	1:36.8
