날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
19941218	1	1	14	★해내리	뉴	거	5세	57		곽영효	지용철	강성보		463(-4)	3.4	1.3		006417	080078	070051	010151								1:04.7
19941218	1	2	06	대안	호	수	3세	55		최봉주	지용철	박형인	머리	445(21)	18.5	3.5		006416	080080	070051	010149								1:04.7
19941218	1	3	03	용감이	호	거	4세	56		이성일	박진호	윤흥열	½	490(8)	2.3	1.2		006353	080016	070017	010373								1:04.8
19941218	1	4	09	스타스윗	호	암	4세	55		이광복	김양선	신라명과	2½	510(-3)	8.8	2.6		006318	080066	070035	030001								1:05.3
19941218	1	5	01	최가속	호	거	3세	55		박태종	김광호	조성찬	½	426(11)	8.8	1.8		006382	080103	070021	010060								1:05.4
19941218	1	6	13	개화도	호	암	4세	55		우창구	강종문	이광원	2	434(4)	11.9	3.6		006373	080046	070032	010140								1:05.8
19941218	1	7	07	올라운드	뉴	암	5세	56		김태경	김재복	이영직	1	461(-1)	94.1	13.7		006171	080296	070015	010049								1:06.0
19941218	1	8	04	대금강	뉴	암	3세	54		김영주	강석철	김명윤	1¾	434(-9)	37.5	23.9		006240	080117	070046	010277								1:06.3
19941218	1	9	12	커플	뉴	거	5세	57		조용배	권승주	남승현	¾	430(-2)	49.4	7.1		005754	080095	070086	010252								1:06.4
19941218	1	10	08	루디아	뉴	암	5세	56		이규봉	정지은	심상춘	1½	446(4)	47.1	10.7		005804	080295	070028	010026								1:06.7
19941218	1	11	10	공주	호	암	4세	55		배휴준	박원덕	서준모	1½	437(0)	6.4	2.3		006335	080022	070056	010099								1:07.0
19941218	1	12	05	우승비결	뉴	암	4세	55		전기혁	김병용	정헌치	목	431(7)	49.1	10.1		005620	080049	070049	010025								1:07.1
19941218	1	13	11	영랑호	호	거	6세	56		이광석	한일영	한병규	목	479(-4)	48.4	11.5		005487	080108	070030	010236								1:07.2
19941218	1	14	02	대환희	뉴	수	3세	55		이정표	홍성범	정진섭	¾	424(1)	77.0	18.8		006214	080069	070026	010042								1:07.3
19941218	2	1	05	비치미	뉴	수	3세	55		김창옥	김승길	제주축산개발		444(-13)	1.9	1.2		006188	080071	070006	030013								1:17.5
19941218	2	2	12	대선풍	호	거	4세	56		박태종	이왕언	범양해운	1	465(-2)	15.2	3.5		006298	080103	070059	030023								1:17.7
19941218	2	3	01	한울타리	호	암	4세	55		이규봉	지용훈	이문철	1¼	454(9)	10.3	2.8		006269	080295	070057	010187								1:18.0
19941218	2	4	08	광덕	호	거	5세	57		이성일	이종구	박정록	3	468(2)	3.5	1.3		006406	080016	070055	010030								1:18.6
19941218	2	5	09	노들강변	호	거	3세	55		한유영	박원선	최상경	6	445(2)	15.9	2.4		006283	080024	070007	010040								1:19.8
19941218	2	6	06	청도	뉴	암	5세	56		정주상	신우철	김덕애	1½	505(6)	7.3	2.3		006222	080121	070033	010070								1:20.1
19941218	2	7	14	★군마성마	뉴	거	6세	56		김태경	김재복	박성봉	2½	431(-4)	39.4	6.2		005376	080296	070015	010152								1:20.6
19941218	2	8	13	경남	호	암	4세	55		김옥성	박원덕	박영석	½	445(10)	15.2	3.6		006421	080100	070056	010263								1:20.7
19941218	2	9	03	유명산	뉴	수	3세	55		홍대유	정찬근	원흥순	2	450(4)	48.4	8.4		006176	080074	070044	010343								1:21.1
19941218	2	10	11	큐마스타	호	거	4세	56		이광복	김양선	방승부	1¾	417(-6)	46.1	11.1		006319	080066	070035	010262								1:21.4
19941218	2	11	07	으뜸	호	거	3세	55		곽영효	지용철	이수길	2½	457(-7)	76.1	8.7		006333	080078	070051	010264								1:21.9
19941218	2	12	04	중해벌	뉴	암	3세	54		최봉주	박덕준	허헌회	목	421(1)	40.8	11.9		006177	080080	070013	010172								1:22.0
19941218	2	13	02	형용사	한	수	3세	53		이상근	박원덕	백정호	2½	485(6)	40.7	8.6		004770	080091	070056	010310								1:22.5
19941218	2	14	10	조비	뉴	수	4세	56		김재섭	홍순철	박정웅	목	458(-2)	41.5	16.8		006195	080096	070014	010118								1:22.6
19941218	3	1	03	살롬	호	암	3세	54		박태종	김광호	조성찬		458(6)	1.5	1.1		006383	080103	070021	010060								1:03.4
19941218	3	2	04	대공세	호	거	4세	56		김택수	권승주	권중기	2½	498(6)	3.7	1.2		006254	080086	070086	010377								1:03.9
19941218	3	3	09	대덕산	호	암	3세	53		강명준	정찬근	김광수	2½	493(45)	7.3	1.5		006349	080123	070044	010073								1:04.4
19941218	3	4	07	금잔디	호	암	4세	55		이상근	이종구	김기영	¾	426(-1)	8.7	2.2		006404	080091	070055	010303								1:04.5
19941218	3	5	02	높은별	뉴	암	4세	55		김창옥	정지은	김남호	머리	411(2)	41.4	6.1		005589	080071	070028	010114								1:04.5
19941218	3	6	05	엘리트	호	암	11세	54		김혜성	하재흥	이상오	½	462(-4)	37.0	7.5		002729	080109	070034	010091								1:04.6
19941218	3	7	01	해상도	호	암	4세	53		민용기	박원선	채명숙	1½	402(2)	20.1	3.0		005489	080298	070007	010273								1:04.9
19941218	3	8	08	천정부지	호	암	5세	56		곽영효	지용철	강성보	목	411(-1)	27.0	3.3		005536	080078	070051	010151								1:05.0
19941218	3	9	06	금타	호	거	4세	56		정주상	신우철	이호	5	484(5)	27.2	3.4		005906	080121	070033	010340								1:06.0
19941218	4	1	14	모닥불	뉴	거	3세	55		김효섭	황의성	박재율		467(0)	24.8	4.4		006507	080097	070054	020008								1:04.4
19941218	4	2	04	호롱왕	호	암	3세	54		이상근	김재복	이기동	¾	517(-5)	21.5	5.0		006345	080091	070015	010156								1:04.5
19941218	4	3	12	호창	호	암	4세	55		장세한	박진호	김명종	1¼	455(3)	28.1	4.8		006355	080113	070017	010261								1:04.8
19941218	4	4	02	슈팅스타	호	암	4세	55		이규봉	지용훈	조용학	목	461(-17)	27.5	8.2		006358	080295	070057	010362								1:04.9
19941218	4	5	03	알렉산더	호	거	4세	56		박태종	박흥진	장경환	1	507(21)	4.2	1.7		006401	080103	070037	010104								1:05.1
19941218	4	6	08	옥토낙원	뉴	암	4세	55		천창기	윤치운	김종화	2	500(0)	13.8	4.1		006460	080092	070084	010138								1:05.5
19941218	4	7	05	대륙	뉴	암	4세	55		배휴준	박원덕	이정원	1¼	510(0)	11.3	3.8		006508	080022	070056	010024								1:05.8
19941218	4	8	06	산머루	뉴	거	4세	56		홍대유	양재철	박현종	5	434(0)	7.5	3.0		006500	080074	070048	010375								1:06.8
19941218	4	8	09	외가리	뉴	거	4세	56		김혜성	오경운	♠이태인	동착	411(0)	13.6	5.3		006479	080109	070031	010316								1:06.8
19941218	4	10	11	인텐스	뉴	암	3세	54		정평수	강윤식	박승만	목	435(0)	5.2	1.9		006471	080106	070022	010066								1:06.9
19941218	4	11	13	월드무적	호	암	4세	55		문제복	이종구	최인재	1½	457(-15)	14.0	3.4		006405	080107	070055	010095								1:07.2
19941218	4	12	01	호삼	뉴	거	5세	57		김택수	권승주	문장식	½	464(16)	4.0	1.8		006340	080086	070086	010135								1:07.3
19941218	4	13	07	고운	뉴	암	3세	54		이정표	홍성범	김성부	2	473(0)	16.8	4.1		006467	080069	070026	010379								1:07.7
19941218	4		10	미스퀸	뉴	암	4세	55		임금만	김문갑	이종철	주행중지	453(0)	31.8	7.9		006511	080038	070087	010385								0:00.0
19941218	5	1	07	대승현	호	암	3세	54		김창옥	최충언	구자선		450(-19)	6.3	1.7		006292	080071	070060	010132								1:18.2
19941218	5	2	03	억셉모어	호	거	4세	56		정평수	이인호	김정기	¾	443(-5)	3.7	1.1		005864	080106	070082	010208								1:18.3
19941218	5	3	04	신안	뉴	거	3세	55		박태종	김춘근	김상태	2½	436(2)	2.6	1.2		006184	080103	070018	010354								1:18.8
19941218	5	4	02	금관총	호	암	4세	55		홍대유	정찬근	김주학	¾	428(-3)	3.9	1.8		005249	080074	070044	010106								1:18.9
19941218	5	5	05	조형미	뉴	암	5세	56		이성일	김충근	윤흥열	½	407(-6)	15.4	3.9		005378	080016	070029	010373								1:19.0
19941218	5	6	09	홀로서기	호	거	6세	56		최봉주	지용철	박형인	목	449(1)	20.1	4.8		005535	080080	070051	010149								1:19.1
19941218	5	7	08	서산마루	뉴	수	5세	57		김혜성	오경운	홍성률	2	489(9)	9.6	2.4		005420	080109	070031	020017								1:19.5
19941218	5	8	06	박람회	호	암	5세	56		장세한	박진호	김윤용	1¾	453(2)	25.6	4.2		005083	080113	070017	010141								1:19.8
19941218	5	9	01	강호춘추	호	거	6세	56		곽영효	지용철	이수길	2	438(-3)	21.4	7.6		005537	080078	070051	010264								1:20.2
19941218	6	1	04	황금어장	호	거	4세	56		천창기	최태환	최애식		493(13)	2.5	1.3		006328	080092	070042	010221								1:31.0
19941218	6	2	03	킹카	호	수	3세	55		김형수	이희영	박정열	머리	471(-7)	6.2	3.4		006275	080292	070053	010243								1:31.0
19941218	6	3	07	핵탄두	호	거	4세	56		정평수	이인호	김정기	1	492(5)	2.3	1.7		006273	080106	070082	010208								1:31.2
19941218	6	4	01	리더	뉴	거	3세	55		이규봉	지용훈	김연호	7	424(-2)	12.6	4.0		006187	080295	070057	010344								1:32.6
19941218	6	5	05	키스톤	호	암	4세	55		최봉주	박덕준	링크폴로	2½	523(4)	8.1	2.2		006259	080080	070013	030002								1:33.1
19941218	6	6	02	금빛가람	호	거	5세	57		김혜성	하재흥	권정달	목	521(11)	12.3	4.5		006397	080109	070034	010007								1:33.2
19941218	6	7	06	키포인트	뉴	암	5세	56		이성일	김충근	윤흥열	10	406(8)	12.8	6.3		005822	080016	070029	010373								1:35.2
19941218	7	1	03	성원	호	거	5세	57		전기혁	김병용	박성환		496(-16)	4.0	1.6		006414	080049	070049	010119								1:54.3
19941218	7	2	08	산지	호	거	4세	56		천창기	윤치운	제주축협	목	491(-2)	2.4	1.2		006301	080092	070084	030011								1:54.4
19941218	7	3	10	상정	호	거	5세	57		배휴준	이왕언	범양해운	½	503(11)	3.7	1.6		006375	080022	070059	030023								1:54.5
19941218	7	4	05	홀아웃	호	암	4세	55		김재섭	홍순철	이위지	6	411(7)	10.6	2.2		005873	080096	070014	010360								1:55.7
19941218	7	5	02	강대	뉴	수	6세	56		이성일	이인호	심병해	1¼	565(4)	23.0	4.2		004798	080016	070082	010305								1:56.0
19941218	7	6	11	홀인원	뉴	암	5세	56		이광복	임형규	이종무	¾	440(4)	21.9	4.4		004991	080066	070016	010200								1:56.1
19941218	7	7	09	대장정	뉴	암	4세	55		김영주	강석철	오일랑	코	398(-5)	35.0	8.3		005617	080117	070046	010195								1:56.1
19941218	7	8	06	상한가	호	암	6세	55		김옥성	김대근	권길상	코	473(2)	21.8	6.5		004943	080100	070050	010146								1:56.1
19941218	7	9	04	금석문	호	거	6세	56		김창옥	김승길	최명균	2½	459(2)	10.0	1.9		005676	080071	070006	010366								1:56.6
19941218	7	10	12	★동방천	뉴	거	5세	57		정주상	김춘근	선우패션	5	442(11)	27.8	6.2		005555	080121	070018	030012								1:57.6
19941218	7	11	07	푸른하늘	뉴	암	6세	55		이정표	홍성범	김성부	11	453(4)	24.3	8.1		004830	080069	070026	010379								1:59.8
19941218	7		01	굴렁쇠	호	거	4세	56		우창구	강종문	오상진	출전취소	0(0)				005891	080046	070032	010184								0:00.0
19941218	8	1	04	지구력	호	거	4세	57		임대규	김일성	안동현		472(-8)	4.0	1.8		005268	080093	070020	010041								2:12.6
19941218	8	2	02	사현정	뉴	암	5세	54		우창구	강종문	권영술	½	436(-3)	23.7	7.2		004818	080046	070032	010126								2:12.7
19941218	8	3	08	경지	뉴	거	8세	58		이성일	김충근	정화섭	1	518(-3)	10.5	3.4		003949	080016	070029	010232								2:12.9
19941218	8	4	11	보은	뉴	수	7세	58		김창옥	김광호	신영화	¾	493(10)	9.3	1.9		003937	080071	070021	010037								2:13.0
19941218	8	5	06	금맥	호	암	4세	55		배휴준	김병용	김복태	1	476(3)	15.9	6.5		005323	080022	070049	010085								2:13.2
19941218	8	6	09	새아씨	뉴	암	6세	53		문제복	이종구	박정록	머리	487(0)	22.2	7.4		004628	080107	070055	010030								2:13.2
19941218	8	7	03	외포리	호	암	5세	54		최봉주	오경운	홍성률	머리	463(3)	24.3	6.4		005299	080080	070031	020017								2:13.2
19941218	8	8	10	케뷔	뉴	거	7세	56		박태종	박흥진	이긍범	2	500(-11)	12.5	3.9		004845	080103	070037	010250								2:13.6
19941218	8	9	13	기쁜소식	뉴	거	5세	59		이상근	강석철	김명윤	머리	453(5)	17.2	6.4		005230	080091	070046	010277								2:13.6
19941218	8	10	01	최대한	호	수	8세	55		김효섭	김광호	이규갑	¾	456(5)	15.0	3.8		002967	080097	070021	010285								2:13.7
19941218	8	11	12	바바리아	뉴	암	5세	56		안병기	고옥봉	박성구	머리	435(3)	17.4	3.3		005562	080053	070080	010244								2:13.7
19941218	8	12	05	징소리	뉴	거	5세	53		홍대유	이왕언	이성재	1	506(3)	24.4	9.4		005410	080074	070059	010230								2:13.9
19941218	8	13	07	호동왕자	호	거	7세	58		장세한	박진호	강승렴	14	503(-1)	16.1	3.7		004680	080113	070017	020007								2:16.7
19941218	8	14	14	대견	호	거	5세	62		신형철	최혜식	이윤자	목	511(-19)	2.7	1.3		005721	080122	070040	010302								2:16.8
19941218	9	1	03	백두급	뉴	거	6세	56		홍대유	정찬근	박엽래		419(-10)	23.6	7.4		004989	080074	070044	010077								1:53.8
19941218	9	2	11	기마전	한	수	3세	56		김창옥	김관홍	박종호	½	426(7)	10.7	2.6		004763	080071	070019	010016								1:53.9
